"Model","Intercept_CO2","TIME_CO2","TIME_CO2_pvalue","TIME_CO2_r2","Date","TimeLog","JarID","Time","T.Air","A.Pressure","Volume","Label","STAGE_1","STAGE_2","STAGE_3","one_hour","two_min","four_hour","eight_hour","PRE_WET","twenty_four_hour","finalC02_flux","finalC02_flux_byarea","Original dried down (14%) soil wt (g)","dry_soil","finalC02flux_gSoil","finalC02flux_gSoil_hr"
"17-July-2024 (Day 2)/TG10-01136-2024-07-17T095000_05",617.76193622138,0.922663765072481,6.55626568903996e-163,0.998035158900038,2024-07-17,"095000",5,9H 50M 0S,30.69,766.5,160,"25-90","90",NA,NA,NA,NA,NA,NA,NA,NA,0.00645755199191488,0.00023220251678946,"73.879",63.071,0.000102385438504461,0.368587578616061
"17-July-2024 (Day 2)/TG10-01136-2024-07-17T095700_06",642.750968290204,0.729796484216231,1.88758005122337e-165,0.998219153876152,2024-07-17,"095700",6,9H 57M 0S,30.69,766.5,160,"25-90","90",NA,NA,NA,NA,NA,NA,NA,NA,0.00510770978415174,0.00018366450140783,"74.342",63.466,8.04794659211506e-05,0.289726077316142
"17-July-2024 (Day 2)/TG10-01136-2024-07-17T100300_07",717.626296477442,1.20832914916678,4.22763878399434e-120,0.989701268183555,2024-07-17,"100300",7,10H 3M 0S,30.69,766.5,160,"25-50","50",NA,NA,NA,NA,NA,NA,NA,NA,0.00845687085530857,0.000304094601053886,"73.378",62.643,0.000135001051279609,0.486003784606594
"17-July-2024 (Day 2)/TG10-01136-2024-07-17T100700_08",598.942381601409,1.77514951226121,2.4795131313674e-116,0.988084558834358,2024-07-17,"100700",8,10H 7M 0S,30.69,766.5,160,"25-50","50",NA,NA,NA,NA,NA,NA,NA,NA,0.0124239410961897,0.000446743656820916,"73.755",62.965,0.000197315033688393,0.710334121278216
"17-July-2024 (Day 2)/TG10-01136-2024-07-17T101200_09",629.904698455494,1.21193306462539,2.52097016899714e-128,0.992508539117161,2024-07-17,"101200",9,10H 12M 0S,30.69,766.5,160,"25-50","50",NA,NA,NA,NA,NA,NA,NA,NA,0.00848209398894556,0.00030500158176719,"72.528",61.917,0.000136991359221951,0.493168893199025
"17-July-2024 (Day 2)/TG10-01136-2024-07-17T101700_10",609.550220092129,1.72890716027638,2.80110963718105e-123,0.990893250297031,2024-07-17,"101700",10,10H 17M 0S,30.69,766.5,160,"25-50","50",NA,NA,NA,NA,NA,NA,NA,NA,0.0121002994799537,0.000435106058250762,"72.996",62.317,0.000194173331192992,0.699023992294772
"17-July-2024 (Day 2)/TG10-01136-2024-07-17T102100_11",459.369375274354,1.80626382603983,2.7682693801827e-112,0.986064141166471,2024-07-17,"102100",11,10H 21M 0S,30.69,766.5,160,"25-50","50",NA,NA,NA,NA,NA,NA,NA,NA,0.0126417043882188,0.00045457405207547,"72.345",61.761,0.000204687495154205,0.736874982555137
"17-July-2024 (Day 2)/TG10-01136-2024-07-17T102700_12",621.409519414713,1.82933361333153,3.46482768444455e-112,0.986011480475774,2024-07-17,"102700",12,10H 27M 0S,30.69,766.5,160,"25-50","50",NA,NA,NA,NA,NA,NA,NA,NA,0.0128031655363835,0.000460379918604225,"72.647",62.019,0.000206439406252657,0.743181862509564
"17-July-2024 (Day 2)/TG10-01136-2024-07-17T103300_13",643.682324181077,0.510281783457185,1.37441542709712e-79,0.951870047209959,2024-07-17,"103300",13,10H 33M 0S,30.69,766.5,160,"25-20","20",NA,NA,NA,NA,NA,NA,NA,NA,0.00357136724334565,0.000128420253266654,"71.429",60.979,5.85671664564136e-05,0.210841799243089
"17-July-2024 (Day 2)/TG10-01136-2024-07-17T103900_14",649.106337657499,0.547825193063271,6.36894814069585e-77,0.945260716586655,2024-07-17,"103900",14,10H 39M 0S,30.69,766.5,160,"25-20","20",NA,NA,NA,NA,NA,NA,NA,NA,0.00383412658067154,0.000137868629294194,"72.378",61.789,6.2051928023945e-05,0.223386940886202
"17-July-2024 (Day 2)/TG10-01136-2024-07-17T104500_15",650.859762417017,0.533495949058391,6.11354414500856e-78,0.947373842794236,2024-07-17,"104500",15,10H 45M 0S,30.69,766.5,160,"25-20","20",NA,NA,NA,NA,NA,NA,NA,NA,0.00373383886843101,0.00013426245481593,"72.034",61.495,6.07177635324988e-05,0.218583948716996
"17-July-2024 (Day 2)/TG10-01136-2024-07-17T104900_16",650.937136573635,0.52758299010974,8.34732343933417e-83,0.956401129731333,2024-07-17,"104900",16,10H 49M 0S,30.69,766.5,160,"25-20","20",NA,NA,NA,NA,NA,NA,NA,NA,0.00369245516910044,0.000132774367820944,"72.361",61.775,5.97726453921561e-05,0.215181523411762
"17-July-2024 (Day 2)/TG10-01136-2024-07-17T105000_17",476.909905771576,0.630818974393713,5.73644105401274e-78,0.947430099250196,2024-07-17,"105000",17,10H 50M 0S,30.69,766.5,160,"25-20","20",NA,NA,NA,NA,NA,NA,NA,NA,0.00441498461177113,0.000158755289887491,"72.218",61.653,7.16102154278159e-05,0.257796775540137
"17-July-2024 (Day 2)/TG10-01136-2024-07-17T110100_18",689.170574082103,0.583255344804225,4.04092409516422e-76,0.943535109764242,2024-07-17,"110100",18,11H 1M 0S,30.69,766.5,160,"25-20","20",NA,NA,NA,NA,NA,NA,NA,NA,0.00408209561945857,0.000146785171501567,"72.434",61.837,6.60138043478592e-05,0.237649695652293
"17-July-2024 (Day 2)/TG10-01136-2024-07-17T110600_19",597.450411143477,0.619101077089823,9.32658779163539e-148,0.996468207525953,2024-07-17,"110600",19,11H 6M 0S,30.69,766.5,160,"25-90","90",NA,NA,NA,NA,NA,NA,NA,NA,0.00433297322914157,0.000155806300940006,"73.178",62.472,6.9358644338929e-05,0.249691119620144
"17-July-2024 (Day 2)/TG10-01136-2024-07-17T111100_20",592.934118087403,0.395382506610799,1.69516529801761e-263,0.996855981837892,2024-07-17,"111100",20,11H 11M 0S,30.69,766.5,160,"25-90","90",NA,NA,NA,NA,NA,NA,NA,NA,0.00276720858646952,9.95040843750275e-05,"73.160",62.457,4.43058197875261e-05,0.159500951235094
"17-July-2024 (Day 2)/TG10-01136-2024-07-17T111800_21",613.496550033871,0.349670999864516,1.98241648318628e-152,0.997052407791093,2024-07-17,"111800",21,11H 18M 0S,30.69,766.5,160,"25-90","90",NA,NA,NA,NA,NA,NA,NA,NA,0.00244728225727233,8.80000811676496e-05,"73.335",62.606,3.90902191047557e-05,0.14072478877712
"17-July-2024 (Day 2)/TG10-01136-2024-07-17T112500_22",634.028078038206,1.08801165153773,2.30405455750487e-146,0.996272631153396,2024-07-17,"112500",22,11H 25M 0S,30.69,766.5,160,"25-90","90",NA,NA,NA,NA,NA,NA,NA,NA,0.00761479107945911,0.000273814853630317,"67.020",57.215,0.000133090816734407,0.479126940243866
"17-July-2024 (Day 2)/TG10-01136-2024-07-17T112900_23",530.809197750982,1.42293540170709,8.71640640011878e-155,0.997309349584257,2024-07-17,"112900",23,11H 29M 0S,30.69,766.5,160,"25-90","90",NA,NA,NA,NA,NA,NA,NA,NA,0.0099588600804519,0.000358103562763463,"73.203",62.493,0.000159359609563502,0.573694594428606
"17-July-2024 (Day 2)/TG10-01136-2024-07-17T113500_24",590.417961902182,0.769745908413493,4.71095654434045e-138,0.994858717141201,2024-07-17,"113500",24,11H 35M 0S,30.69,766.5,160,"25-90","90",NA,NA,NA,NA,NA,NA,NA,NA,0.00538730836986256,0.00019371838798499,"72.877",62.215,8.65917924915625e-05,0.311730452969625
"17-July-2024 (Day 2)/TG10-01136-2024-07-17T114000_25",568.80377481371,1.695480470126,1.59924138026388e-107,0.98324470300027,2024-07-17,"114000",25,11H 40M 0S,30.69,766.5,160,"25-50","50",NA,NA,NA,NA,NA,NA,NA,NA,0.011866352296012,0.000426693717943618,"72.928",62.259,0.000190596577137635,0.686147677695486
"17-July-2024 (Day 2)/TG10-01136-2024-07-17T114600_26",644.506459626067,1.35628447364856,1.19747380110131e-123,0.991022382247861,2024-07-17,"114600",26,11H 46M 0S,30.69,766.5,160,"25-50","50",NA,NA,NA,NA,NA,NA,NA,NA,0.00949238263813734,0.000341329832367398,"72.772",62.125,0.000152794891559555,0.550061609614397
"17-July-2024 (Day 2)/TG10-01136-2024-07-17T115100_27",633.567079257553,1.26268968974394,1.94443347189758e-121,0.990220651542525,2024-07-17,"115100",27,11H 51M 0S,30.69,766.5,160,"25-50","50",NA,NA,NA,NA,NA,NA,NA,NA,0.0088373301627769,0.00031777526655077,"72.610",61.987,0.000142567476451141,0.513242915224109
"17-July-2024 (Day 2)/TG10-01136-2024-07-17T115500_28",630.79750852188,1.7521524454681,4.86861663731882e-115,0.987473214055317,2024-07-17,"115500",28,11H 55M 0S,30.69,766.5,160,"25-50","50",NA,NA,NA,NA,NA,NA,NA,NA,0.0122629889052619,0.000440956091523262,"72.627",62.002,0.000197783763511853,0.712021548642671
"17-July-2024 (Day 2)/TG10-01136-2024-07-17T115900_29",611.867229779163,1.66944451971278,3.21421149113449e-125,0.991551950570259,2024-07-17,"115900",29,11H 59M 0S,30.69,766.5,160,"25-50","50",NA,NA,NA,NA,NA,NA,NA,NA,0.0116841315241373,0.000420141370878725,"72.817",62.164,0.000187956558846556,0.676643611847603
"17-July-2024 (Day 2)/TG10-01136-2024-07-17T120600_30",637.514968310527,1.06685938219753,4.50491706818456e-120,0.989690267700393,2024-07-17,"120600",30,12H 6M 0S,30.69,766.5,160,"25-50","50",NA,NA,NA,NA,NA,NA,NA,NA,0.00746675028260328,0.00026849155996416,"73.503",62.75,0.000118992036376148,0.428371330954133
"17-July-2024 (Day 2)/TG10-01136-2024-07-17T121200_31",611.042547026148,0.423297683240753,1.02715960637808e-97,0.975511651569941,2024-07-17,"121200",31,12H 12M 0S,30.69,766.5,160,"25-20","20",NA,NA,NA,NA,NA,NA,NA,NA,0.00296258171292718,0.000106529367598964,"71.340",60.903,4.86442656835818e-05,0.175119356460895
"17-July-2024 (Day 2)/TG10-01136-2024-07-17T121700_32",728.734992494242,0.681677252404823,4.41461073229464e-74,0.938903003285289,2024-07-17,"121700",32,12H 17M 0S,30.69,766.5,160,"25-20","20",NA,NA,NA,NA,NA,NA,NA,NA,0.00477093223528077,0.000171554557183775,"72.029",61.491,7.75874881735664e-05,0.279314957424839
"17-July-2024 (Day 2)/TG10-01136-2024-07-17T122300_33",722.940787074922,0.684487284920742,3.48716442823958e-76,0.943674734228155,2024-07-17,"122300",33,12H 23M 0S,30.69,766.5,160,"25-20","20",NA,NA,NA,NA,NA,NA,NA,NA,0.0047905991299367,0.000172261745053459,"73.469",62.72,7.63807259237356e-05,0.274970613325448
"17-July-2024 (Day 2)/TG10-01136-2024-07-17T122800_34",631.893888958136,0.744769462132501,2.11994219039063e-73,0.937271304200576,2024-07-17,"122800",34,12H 28M 0S,30.69,766.5,160,"25-20","20",NA,NA,NA,NA,NA,NA,NA,NA,0.00521250287024472,0.000187432681418365,"70.889",60.518,8.61314463505853e-05,0.310073206862107
"17-July-2024 (Day 2)/TG10-01136-2024-07-17T123400_35",648.469905852865,0.815470457932532,4.36152341496153e-72,0.934002689051378,2024-07-17,"123400",35,12H 34M 0S,30.69,766.5,160,"25-20","20",NA,NA,NA,NA,NA,NA,NA,NA,0.00570732598299911,0.000205225673606584,"71.223",60.803,9.38658616022089e-05,0.337917101767952
"17-July-2024 (Day 2)/TG10-01136-2024-07-17T123900_36",630.041514286682,0.653738253624169,2.16089716768096e-72,0.934776651573839,2024-07-17,"123900",36,12H 39M 0S,30.69,766.5,160,"25-20","20",NA,NA,NA,NA,NA,NA,NA,NA,0.00457539238202345,0.000164523278749495,"68.100",58.137,7.87001802986643e-05,0.283320649075192
"20-July-2024 (Day 5)/TG10-01136-2024-07-20T102800_01",462.942128708847,0.302778214334102,2.33620597421739e-129,0.99249948687976,2024-07-20,"102800",1,10H 28M 0S,30.88,767.2,160,"25-90",NA,"25-90",NA,NA,NA,NA,NA,NA,NA,0.00211969810926387,7.62207159030519e-05,"74.469",63.574,3.33422170897517e-05,0.120031981523106
"20-July-2024 (Day 5)/TG10-01136-2024-07-20T103400_02",447.109245928075,0.682831782989283,2.9250359023114e-131,0.993027531897537,2024-07-20,"103400",2,10H 34M 0S,30.88,767.2,160,"25-90",NA,"25-90",NA,NA,NA,NA,NA,NA,NA,0.00478038765943222,0.000171894558052219,"73.443",62.698,7.62446594697154e-05,0.274480774090976
"20-July-2024 (Day 5)/TG10-01136-2024-07-20T104000_03",455.733840318418,0.347821744029662,5.52040975610214e-156,0.997300194441006,2024-07-20,"104000",3,10H 40M 0S,30.88,767.2,160,"25-90",NA,"25-90",NA,NA,NA,NA,NA,NA,NA,0.00243504009957265,8.75598741306237e-05,"73.713",62.929,3.86950388465198e-05,0.139302139847471
"20-July-2024 (Day 5)/TG10-01136-2024-07-20T104600_04",481.69339614237,0.479204007653137,1.79948813610342e-150,0.996664073213801,2024-07-20,"104600",4,10H 46M 0S,30.88,767.2,160,"25-90",NA,"25-90",NA,NA,NA,NA,NA,NA,NA,0.00335482468977498,0.000120633753677633,"73.815",63.016,5.32376648751901e-05,0.191655593550684
