"...1","Model","Intercept_CO2","TIME_CO2","TIME_CO2_pvalue","Intercept_CH4","TIME_CH4","TIME_CH4_pvalue","Date","TimeLog","JarID","Time","T.Air","A.Pressure","Volume","Area","Label","STAGE_1","STAGE_2","STAGE_3","PRE_WET","three_min","one_hour","four_hour","eight_hour","tweny_four_hour","TIME_CO2_mol_per_mol_per_s","TIME_CH4_mol_per_mol_per_s","finalC02_flux","finalCH4_flux","finalC02_flux_byarea","finalCH4_flux_byarea"
13,"16-July-2024 (Day 1)/TG10-01136-2024-07-16T162200_13",-23243.06044,0.402697914,2.6646621159447e-87,1420.203271,0.00900569,6.70970836017656e-34,"7/16/24","162200","13","16H 22M 0S",28.35,765.9,160,27.8,"20","20",NA,NA,NA,NA,NA,NA,NA,NA,4.02697914e-07,9.00569e-09,2.62467730175979e-09,5.86966788451879e-11,9.43789033354831e-11,2.11063210518475e-12
14,"16-July-2024 (Day 1)/TG10-01136-2024-07-16T162700_14",-26231.04369,0.451882367,4.38560288953137e-85,1270.341511,0.011854288,4.13873832302454e-32,"7/16/24","162700","14","16H 27M 0S",28.35,765.9,160,27.8,"20","20",NA,NA,NA,NA,NA,NA,NA,NA,4.51882367e-07,1.1854288e-08,2.94524841201533e-09,7.7263078750697e-11,1.05906091766103e-10,2.77824806726706e-12
15,"16-July-2024 (Day 1)/TG10-01136-2024-07-16T163200_15",-14181.0087,0.246743998,1.52098486799596e-90,1470.688921,0.008248815,7.86773399578221e-30,"7/16/24","163200","15","16H 32M 0S",28.35,765.9,160,27.8,"20","20",NA,NA,NA,NA,NA,NA,NA,NA,2.46743998e-07,8.248815e-09,1.60821138719895e-09,5.37635700216606e-11,5.7828528845701e-11,1.93324595547143e-12
16,"16-July-2024 (Day 1)/TG10-01136-2024-07-16T163600_16",-16929.27001,0.291677639,2.47976315789355e-98,1525.040027,0.007269001,5.79063737820724e-34,"7/16/24","163600","16","16H 36M 0S",28.35,765.9,160,27.8,"20","20",NA,NA,NA,NA,NA,NA,NA,NA,2.91677639e-07,7.269001e-09,1.90107684171958e-09,4.73774044212436e-11,6.83594693174968e-11,1.70361037113425e-12
17,"16-July-2024 (Day 1)/TG10-01136-2024-07-16T164100_17",-37472.12055,0.632610893,1.46683296442055e-78,1498.194995,0.007641851,5.9276844714263e-29,"7/16/24","164100","17","16H 41M 0S",28.35,765.9,160,27.8,"20","20",NA,NA,NA,NA,NA,NA,NA,NA,6.32610893e-07,7.641851e-09,4.12318860857841e-09,4.9807541002386e-11,1.48262805054959e-10,1.79099392313506e-12
18,"16-July-2024 (Day 1)/TG10-01136-2024-07-16T164600_18",-23532.83519,0.398482015,8.6206728869923e-83,1234.820541,0.012027368,2.08725641191065e-37,"7/16/24","164600","18","16H 46M 0S",28.35,765.9,160,27.8,"20","20",NA,NA,NA,NA,NA,NA,NA,NA,3.98482015e-07,1.2027368e-08,2.59719919962139e-09,7.83911679003929e-11,9.33908378145052e-11,2.81881222223635e-12
19,"16-July-2024 (Day 1)/TG10-01136-2024-07-16T165200_19",-61649.60676,1.023803265,1.74527159222498e-164,199.4307064,0.028929413,4.67865673042004e-120,"7/16/24","165200","19","16H 52M 0S",28.35,765.9,160,27.8,"90","90",NA,NA,NA,NA,NA,NA,NA,NA,1.023803265e-06,2.8929413e-08,6.67287586474326e-09,1.88554176752787e-10,2.399451947049e-10,6.78008546396212e-12
20,"16-July-2024 (Day 1)/TG10-01136-2024-07-16T165700_20",-26492.7448,0.442701849,8.21476813296383e-167,2155.859565,-0.003265614,4.73746696902034e-19,"7/16/24","165700","20","16H 57M 0S",28.35,765.9,160,27.8,"90","90",NA,NA,NA,NA,NA,NA,NA,NA,4.42701849e-07,-3.265614e-09,2.88541225102395e-09,-2.128439866244e-11,1.03754485833295e-10,-7.6535054521539e-13
21,"16-July-2024 (Day 1)/TG10-01136-2024-07-16T170300_21",-18079.43658,0.302979305,3.77673129568025e-141,1856.945104,0.001558867,7.0517483453681e-09,"7/16/24","170300","21","17H 3M 0S",28.35,765.9,160,27.8,"90","90",NA,NA,NA,NA,NA,NA,NA,NA,3.02979305e-07,1.558867e-09,1.97473807807322e-09,1.01602781864978e-11,7.10082012971313e-11,3.65346213106717e-13
22,"16-July-2024 (Day 1)/TG10-01136-2024-07-16T170800_22",-47889.27131,0.784616238,6.78180218565018e-145,2264.552517,-0.005038138,3.13643236837122e-39,"7/16/24","170800","22","17H 8M 0S",28.35,765.9,160,27.8,"90","90",NA,NA,NA,NA,NA,NA,NA,NA,7.84616238e-07,-5.038138e-09,5.11391879340789e-09,-3.28372360323015e-11,1.8388776675325e-10,-1.18077080303134e-12
23,"16-July-2024 (Day 1)/TG10-01136-2024-07-16T171500_23",-79380.09201,1.286934765,4.96912102080995e-177,-58668.7267,0.977129251,6.35192812501673e-163,"7/16/24","171500","23","17H 15M 0S",28.35,765.9,160,27.8,"90","90",NA,NA,NA,NA,NA,NA,NA,NA,1.286934765e-06,9.77129251e-07,8.3878966071353e-09,6.36866712447197e-09,3.01614405146901e-10,2.29006369092843e-10
24,"16-July-2024 (Day 1)/TG10-01136-2024-07-16T172000_24",-41496.54583,0.673240686,2.42672556242413e-153,2002.120527,-0.00083444,0.005677442,"7/16/24","172000","24","17H 20M 0S",28.35,765.9,160,27.8,"90","90",NA,NA,NA,NA,NA,NA,NA,NA,6.73240686e-07,-8.3444e-10,4.38800273290064e-09,-5.43865674874203e-12,1.57785067705884e-10,-1.95564787800864e-13
25,"16-July-2024 (Day 1)/TG10-01136-2024-07-16T172500_25",-96042.93871,1.53895565,1.75538530616053e-112,1628.656364,0.005074854,1.33163446301742e-25,"7/16/24","172500","25","17H 25M 0S",28.35,765.9,160,27.8,"50","50",NA,NA,NA,NA,NA,NA,NA,NA,1.53895565e-06,5.074854e-09,1.0030501332495e-08,3.3076541100595e-11,3.60679659564727e-10,1.18937580368914e-12
26,"16-July-2024 (Day 1)/TG10-01136-2024-07-16T173100_26",-70694.62979,1.129457899,4.08621645220052e-124,592.7069094,0.021423181,5.3045932170691e-65,"7/16/24","173100","26","17H 31M 0S",28.35,765.9,160,27.8,"50","50",NA,NA,NA,NA,NA,NA,NA,NA,1.129457899e-06,2.1423181e-08,7.36150451178795e-09,1.39630564121054e-10,2.64707102185831e-10,5.0208760920911e-12
27,"16-July-2024 (Day 1)/TG10-01136-2024-07-16T173600_27",-73540.92686,1.168801206,2.49675824566807e-124,1336.363899,0.009574854,1.48749189449974e-45,"7/16/24","173600","27","17H 36M 0S",28.35,765.9,160,27.8,"50","50",NA,NA,NA,NA,NA,NA,NA,NA,1.168801206e-06,9.574854e-09,7.6179336644333e-09,6.24063375740851e-11,2.73927855607094e-10,2.24402508357012e-12
28,"16-July-2024 (Day 1)/TG10-01136-2024-07-16T174200_28",-104264.1686,1.645049756,2.93288786603145e-113,912.3253597,0.016219211,3.169954985567e-50,"7/16/24","174200","28","17H 42M 0S",28.35,765.9,160,27.8,"50","50",NA,NA,NA,NA,NA,NA,NA,NA,1.645049756e-06,1.6219211e-08,1.07219943404988e-08,1.05712479464576e-10,3.85544564563064e-10,3.8012398225306e-12
29,"16-July-2024 (Day 1)/TG10-01136-2024-07-16T174900_29",-43587.66656,0.687635104,1.59801692244541e-138,1485.881533,0.00716197,8.61696913909783e-41,"7/16/24","174900","29","17H 49M 0S",28.35,765.9,160,27.8,"50","50",NA,NA,NA,NA,NA,NA,NA,NA,6.87635104e-07,7.16197e-09,4.48182169963272e-09,4.66798049887205e-11,1.61158637167663e-10,1.67852588956205e-12
30,"16-July-2024 (Day 1)/TG10-01136-2024-07-16T175300_30",-78613.91615,1.228348997,1.21467072610928e-118,1681.900584,0.004250576,2.59316407177757e-20,"7/16/24","175300","30","17H 53M 0S",28.35,765.9,160,27.8,"50","50",NA,NA,NA,NA,NA,NA,NA,NA,1.228348997e-06,4.250576e-09,8.00605024009461e-09,2.77041175500226e-11,2.87883863361906e-10,9.96192648328753e-13
31,"16-July-2024 (Day 1)/TG10-01136-2024-07-16T180000_31",-32131.52463,0.504947853,1.94852182646784e-79,1946.137374,0.00109328,0.000484062,"7/16/24","180000","31","18H 0M 0S",28.35,765.9,160,27.8,"20","20",NA,NA,NA,NA,NA,NA,NA,NA,5.04947853e-07,1.09328e-09,3.29111505738129e-09,7.12570664189718e-12,1.18342864343089e-10,2.56228214379618e-13
32,"16-July-2024 (Day 1)/TG10-01136-2024-07-16T180400_32",-23051.987,0.363149309,1.20681564509055e-83,2739.446264,-0.010650183,2.7700534086587e-33,"7/16/24","180400","32","18H 4M 0S",28.35,765.9,160,27.8,"20","20",NA,NA,NA,NA,NA,NA,NA,NA,3.63149309e-07,-1.0650183e-08,2.36691007165746e-09,-6.94150443989833e-11,8.51100349391392e-11,-2.49604618478904e-12
33,"16-July-2024 (Day 1)/TG10-01136-2024-07-16T180900_33",-28657.08418,0.447625423,7.29221621958388e-89,2762.418853,-0.010454071,2.38630483033563e-33,"7/16/24","180900","33","18H 9M 0S",28.35,765.9,160,27.8,"20","20",NA,NA,NA,NA,NA,NA,NA,NA,4.47625423e-07,-1.0454071e-08,2.91750278954443e-09,-6.81368388332035e-11,1.0490840667186e-10,-2.45008410043882e-12
34,"16-July-2024 (Day 1)/TG10-01136-2024-07-16T181400_34",-24169.78928,0.377475026,1.33383291484003e-84,2057.641928,-0.000443816,0.131397437,"7/16/24","181400","34","18H 14M 0S",28.35,765.9,160,27.8,"20","20",NA,NA,NA,NA,NA,NA,NA,NA,3.77475026e-07,-4.43816e-10,2.46028126364564e-09,-2.89267398926189e-12,8.84675031875456e-11,-1.04015605511035e-13
35,"16-July-2024 (Day 1)/TG10-01136-2024-07-16T181900_35",-19436.73495,0.303755348,1.6393213992014e-91,1927.940687,0.001328078,9.79878796218425e-06,"7/16/24","181900","35","18H 19M 0S",28.35,765.9,160,27.8,"20","20",NA,NA,NA,NA,NA,NA,NA,NA,3.03755348e-07,1.328078e-09,1.97979611879426e-09,8.6560572090933e-12,7.11900797840439e-11,3.11257001405728e-13
36,"16-July-2024 (Day 1)/TG10-01136-2024-07-16T182500_36",-17979.00994,0.280261875,4.48242316845288e-93,2087.781931,-0.001326379,0.000181439,"7/16/24","182500","36","18H 25M 0S",28.35,765.9,160,27.8,"20","20",NA,NA,NA,NA,NA,NA,NA,NA,2.80261875e-07,-1.326379e-09,1.8266719451175e-09,-8.64498358149142e-12,6.56839965881876e-11,-3.10858812710946e-13
37,"16-July-2024 (Day 1)/TG10-01136-2024-07-16T183900_82",-183.9577155,0.011174096,4.13651473981349e-11,1746.734324,0.003271643,1.39643167828026e-20,"7/16/24","183900","82","18H 39M 0S",28.35,765.9,160,27.8,"BLANK","BLANK",NA,NA,NA,NA,NA,NA,NA,NA,1.1174096e-08,3.271643e-09,7.28297692122756e-11,2.13236940719819e-11,2.61883384438244e-12,7.66763540883924e-13
38,"16-July-2024 (Day 1)/TG10-01136-2024-07-16T184400_83",169.3002849,0.006917674,2.88265047229688e-05,1871.809377,0.0015609,1.00683869767572e-07,"7/16/24","184400","83","18H 44M 0S",28.35,765.9,160,27.8,"BLANK","BLANK",NA,NA,NA,NA,NA,NA,NA,NA,6.917674e-09,1.5609e-09,4.50875489977677e-11,1.01735287367713e-11,1.62127108945587e-12,3.65822680214717e-13
39,"16-July-2024 (Day 1)/TG10-01136-2024-07-16T185100_84",-481.9713524,0.015263697,3.15072834458836e-24,1807.752971,0.002257689,3.37633346401965e-11,"7/16/24","185100","84","18H 51M 0S",28.35,765.9,160,27.8,"BLANK","BLANK",NA,NA,NA,NA,NA,NA,NA,NA,1.5263697e-08,2.257689e-09,9.9484694765116e-11,1.47150130823194e-11,3.57729934430478e-12,5.29126684010048e-13
40,"16-July-2024 (Day 1)/TG10-01136-2024-07-16T185600_85",-296.8445461,0.012946511,5.90907405847817e-15,1800.8592,0.002708576,7.43814965755466e-15,"7/16/24","185600","85","18H 56M 0S",28.35,765.9,160,27.8,"BLANK","BLANK",NA,NA,NA,NA,NA,NA,NA,NA,1.2946511e-08,2.708576e-09,8.43818961492892e-11,1.765377395844e-11,3.03422855624916e-12,6.34799495089536e-13
41,"17-July-2024 (Day 2)/TG10-01136-2024-07-17T092600_01",-11190.72316,0.346065012,3.8400615090228e-141,1726.720596,0.00731974,2.31192216079431e-41,"7/17/24","092600","01","9H 26M 0S",30.69,766.5,160,27.8,"90","90",NA,NA,NA,NA,NA,NA,NA,NA,3.46065012e-07,7.31974e-09,2.23994155918133e-09,4.73777737126513e-11,8.0544464551648e-11,1.70362365022119e-12
42,"17-July-2024 (Day 2)/TG10-01136-2024-07-17T093200_02",-19354.99712,0.580385408,1.63474201243338e-159,1903.533169,0.002461591,5.29757778379277e-13,"7/17/24","093200","02","9H 32M 0S",30.69,766.5,160,27.8,"90","90",NA,NA,NA,NA,NA,NA,NA,NA,5.80385408e-07,2.461591e-09,3.75660454146579e-09,1.59329021756372e-11,1.35081069452204e-10,5.72919891249092e-13
43,"17-July-2024 (Day 2)/TG10-01136-2024-07-17T093800_03",-16118.34659,0.481958888,5.13515483693288e-140,487.0108614,0.04314368,2.8617090720578e-85,"7/17/24","093800","03","9H 38M 0S",30.69,766.5,160,27.8,"90","90",NA,NA,NA,NA,NA,NA,NA,NA,4.81958888e-07,4.314368e-08,3.11952871747699e-09,2.79251928097315e-10,1.12172913249802e-10,1.00414213627226e-11
44,"17-July-2024 (Day 2)/TG10-01136-2024-07-17T094400_04",-19413.98103,0.570329122,1.12137093380934e-171,1915.419393,0.001622748,2.32034297134008e-06,"7/17/24","094400","04","9H 44M 0S",30.69,766.5,160,27.8,"90","90",NA,NA,NA,NA,NA,NA,NA,NA,5.70329122e-07,1.622748e-09,3.69151419092086e-09,1.05034041559751e-11,1.32740531856198e-10,3.77684435669728e-13
45,"17-July-2024 (Day 2)/TG10-01136-2024-07-17T095000_05",-32044.53535,0.922663765,6.55626568925239e-163,2456.858593,-0.013529874,5.38270193967273e-61,"7/17/24","095000","05","9H 50M 0S",30.69,766.5,160,27.8,"90","90",NA,NA,NA,NA,NA,NA,NA,NA,9.22663765e-07,-1.3529874e-08,5.97203658477389e-09,-8.75735079022867e-11,2.14744213763894e-10,-3.14899345207791e-12
46,"17-July-2024 (Day 2)/TG10-01136-2024-07-17T095700_06",-25498.5591,0.729796484,1.88758005159655e-165,2456.654357,-0.01333024,1.31334061847463e-69,"7/17/24","095700","06","9H 57M 0S",30.69,766.5,160,27.8,"90","90",NA,NA,NA,NA,NA,NA,NA,NA,7.29796484e-07,-1.333024e-08,4.72368317388876e-09,-8.62813562032712e-11,1.69855561808298e-10,-3.10252988864693e-12
47,"17-July-2024 (Day 2)/TG10-01136-2024-07-17T100300_07",-42999.72232,1.208329149,4.22763878422962e-120,922.5618531,0.029803143,9.8988674958335e-64,"7/17/24","100300","07","10H 3M 0S",30.69,766.5,160,27.8,"50","50",NA,NA,NA,NA,NA,NA,NA,NA,1.208329149e-06,2.9803143e-08,7.8210353088665e-09,1.92903923497254e-10,2.81231043109187e-10,6.93649491180344e-12
48,"17-July-2024 (Day 2)/TG10-01136-2024-07-17T100700_08",-64052.00285,1.775149512,2.47951313149652e-116,-233.7567286,0.060762837,1.51076133435475e-66,"7/17/24","100700","08","10H 7M 0S",30.69,766.5,160,27.8,"50","50",NA,NA,NA,NA,NA,NA,NA,NA,1.775149512e-06,6.0762837e-08,1.14898386944973e-08,3.93293742882222e-10,4.13154933279297e-10,1.41421698267609e-11
49,"17-July-2024 (Day 2)/TG10-01136-2024-07-17T101200_09",-43872.27743,1.211933065,2.52097016914332e-128,-213.4343649,0.060123899,5.36639527902751e-76,"7/17/24","101200","09","10H 12M 0S",30.69,766.5,160,27.8,"50","50",NA,NA,NA,NA,NA,NA,NA,NA,1.211933065e-06,6.0123899e-08,7.84436202767447e-09,3.89158150637085e-10,2.82069831991171e-10,1.39934610081656e-11
50,"17-July-2024 (Day 2)/TG10-01136-2024-07-17T101700_10",-63394.59285,1.72890716,2.80110963734156e-123,-351.3344226,0.06312417,1.22611567638938e-74,"7/17/24","101700","10","10H 17M 0S",30.69,766.5,160,27.8,"50","50",NA,NA,NA,NA,NA,NA,NA,NA,1.72890716e-06,6.312417e-08,1.11905302916036e-08,4.0857771479027e-10,4.02392315411852e-10,1.4691755296306e-11
51,"17-July-2024 (Day 2)/TG10-01136-2024-07-17T102100_11",-66842.02078,1.806263826,2.76826938032214e-112,-471.9716205,0.065579596,3.71317130845919e-65,"7/17/24","102100","11","10H 21M 0S",30.69,766.5,160,27.8,"50","50",NA,NA,NA,NA,NA,NA,NA,NA,1.806263826e-06,6.5579596e-08,1.16912293078136e-08,4.24470713366198e-10,4.20396595031055e-10,1.52632403224091e-11
52,"17-July-2024 (Day 2)/TG10-01136-2024-07-17T102700_12",-68198.12101,1.829333613,3.46482768461227e-112,165.1612569,0.048106286,9.72089258499355e-58,"7/17/24","102700","12","10H 27M 0S",30.69,766.5,160,27.8,"50","50",NA,NA,NA,NA,NA,NA,NA,NA,1.829333613e-06,4.8106286e-08,1.18405508886464e-08,3.11372908363423e-10,4.25765943496815e-10,1.11964368343554e-11
53,"17-July-2024 (Day 2)/TG10-01136-2024-07-17T103300_13",-18997.58183,0.517128567,3.40559486303918e-78,1057.091357,0.024262634,5.72116939832225e-33,"7/17/24","103300","13","10H 33M 0S",30.69,766.5,160,27.8,"20","20",NA,NA,NA,NA,NA,NA,NA,NA,5.17128567e-07,2.4262634e-08,3.34716809991525e-09,1.57042406332039e-10,1.20358435811408e-10,5.64697613563607e-12
54,"17-July-2024 (Day 2)/TG10-01136-2024-07-17T103900_14",-20354.51156,0.547825193,6.36894814086808e-77,1342.974038,0.016515242,1.90542133521752e-31,"7/17/24","103900","14","10H 39M 0S",30.69,766.5,160,27.8,"20","20",NA,NA,NA,NA,NA,NA,NA,NA,5.47825193e-07,1.6515242e-08,3.54585518447971e-09,1.06896610847609e-10,1.27502883296645e-10,3.84381916028797e-12
55,"17-July-2024 (Day 2)/TG10-01136-2024-07-17T104500_15",-19995.43347,0.533495949,6.11354414517614e-78,1244.550693,0.018937949,1.37690297508468e-37,"7/17/24","104500","15","10H 45M 0S",30.69,766.5,160,27.8,"20","20",NA,NA,NA,NA,NA,NA,NA,NA,5.33495949e-07,1.8937949e-08,3.45310767163016e-09,1.22577832314226e-10,1.24167841482566e-10,4.40768904402106e-12
56,"17-July-2024 (Day 2)/TG10-01136-2024-07-17T104900_16",-19893.1445,0.52758299,8.34732343937499e-83,1366.90821,0.015927178,1.41820412143177e-34,"7/17/24","104900","16","10H 49M 0S",30.69,766.5,160,27.8,"20","20",NA,NA,NA,NA,NA,NA,NA,NA,5.2758299e-07,1.5927178e-08,3.4148354333438e-09,1.03090305825769e-10,1.22791637301108e-10,3.70695094662961e-12
57,"17-July-2024 (Day 2)/TG10-01136-2024-07-17T105000_17",-24125.0301,0.630818974,5.73644105403932e-78,1098.979883,0.022412139,3.30838690916423e-35,"7/17/24","105000","17","10H 50M 0S",30.69,766.5,160,27.8,"20","20",NA,NA,NA,NA,NA,NA,NA,NA,6.30818974e-07,2.2412139e-08,4.08304101017507e-09,1.45064886178811e-10,1.46819166133587e-10,5.21628501182346e-12
58,"17-July-2024 (Day 2)/TG10-01136-2024-07-17T110100_18",-22442.7364,0.583255345,4.04092409526533e-76,691.3727133,0.033143002,4.32702421358793e-35,"7/17/24","110100","18","11H 1M 0S",30.69,766.5,160,27.8,"20","20",NA,NA,NA,NA,NA,NA,NA,NA,5.83255345e-07,3.3143002e-08,3.77518050533275e-09,2.1452150607999e-10,1.3574902931797e-10,7.71382618051026e-12
59,"17-July-2024 (Day 2)/TG10-01136-2024-07-17T110600_19",-24141.82863,0.619101077,9.32658779294809e-148,1292.196927,0.017082509,1.48648960869047e-75,"7/17/24","110600","19","11H 6M 0S",30.69,766.5,160,27.8,"90","90",NA,NA,NA,NA,NA,NA,NA,NA,6.19101077e-07,1.7082509e-08,4.00719571068982e-09,1.10568305137386e-10,1.44091898982014e-10,3.97584700242308e-12
60,"17-July-2024 (Day 2)/TG10-01136-2024-07-17T111100_20",-15325.1656,0.395382507,1.69516529817236e-263,1930.967503,0.001959262,1.58430999485823e-06,"7/17/24","111100","20","11H 11M 0S",30.69,766.5,160,27.8,"90","90",NA,NA,NA,NA,NA,NA,NA,NA,3.95382507e-07,1.959262e-09,2.55915414298688e-09,1.26815258028013e-11,9.20228026963997e-11,4.56005961984943e-13
61,"17-July-2024 (Day 2)/TG10-01136-2024-07-17T111800_21",-13611.11972,0.349671,1.98241648325513e-152,1763.210283,0.005254505,2.2155654882358e-31,"7/17/24","111800","21","11H 18M 0S",30.69,766.5,160,27.8,"90","90",NA,NA,NA,NA,NA,NA,NA,NA,3.49671e-07,5.254505e-09,2.26328168922345e-09,3.40103267140629e-11,8.13837356786571e-11,1.22295313606842e-12
62,"17-July-2024 (Day 2)/TG10-01136-2024-07-17T112500_22",-44083.2508,1.088011652,2.30405455770919e-146,1961.797245,0.00030294,0.367043652,"7/17/24","112500","22","11H 25M 0S",30.69,766.5,160,27.8,"90","90",NA,NA,NA,NA,NA,NA,NA,NA,1.088011652e-06,3.0294e-10,7.0422678736108e-09,1.96081046164353e-12,2.53227899087048e-10,7.050738804903e-14
63,"17-July-2024 (Day 2)/TG10-01136-2024-07-17T112900_23",-58293.34031,1.422935402,8.71640640023671e-155,408.18849,0.037697128,3.07406974097897e-125,"7/17/24","112900","23","11H 29M 0S",30.69,766.5,160,27.8,"90","90",NA,NA,NA,NA,NA,NA,NA,NA,1.422935402e-06,3.7697128e-08,9.21009646294492e-09,2.43998557325923e-10,3.31179304672597e-10,8.77377048996486e-12
64,"17-July-2024 (Day 2)/TG10-01136-2024-07-17T113500_24",-31507.98642,0.769745908,4.71095654475929e-138,1562.038153,0.009722599,1.09799162483871e-50,"7/17/24","113500","24","11H 35M 0S",30.69,766.5,160,27.8,"90","90",NA,NA,NA,NA,NA,NA,NA,NA,7.69745908e-07,9.722599e-09,4.98225994987025e-09,6.29305269477945e-11,1.79153540088826e-10,2.26287403623857e-12
