Model,Intercept_CO2,TIME_CO2,TIME_CO2_pvalue,TIME_CO2_r2,Date,TimeLog,JarID,Time,T.Air,A.Pressure,Volume,Label,STAGE_1,STAGE_2,STAGE_3,one_hour,two_min,four_hour,eight_hour,PRE_WET,twenty_four_hour,finalC02_flux,finalC02_flux_byarea,Original dried down (14%) soil wt (g),dry_soil,finalC02flux_gSoil,finalC02flux_gSoil_hr,treatment,Date_corr,Hours
16-July-2024 (Day 1)/TG10-01136-2024-07-16T165700_20,520.92204346972,0.442701849342907,8.214768132828869e-167,0.998310541364256,2024-07-16,165700,20,16H 57M 0S,28.35,765.9,160,25-90,90,NA,NA,NA,NA,NA,NA,NA,NA,0.00311999087372796,1.1218953159755e-4,73.16,62.457,4.99542224847169e-5,0.179835200944981,90-35,2024-07-16,25
16-July-2024 (Day 1)/TG10-01136-2024-07-16T170300_21,517.433163968297,0.302979304972227,3.7767312956222896e-141,0.995439209790704,2024-07-16,170300,21,17H 3M 0S,28.35,765.9,160,25-90,90,NA,NA,NA,NA,NA,NA,NA,NA,0.00213528059086463,7.67810352702133e-5,73.335,62.606,3.41066445846186e-5,0.122783920504627,90-35,2024-07-16,25
16-July-2024 (Day 1)/TG10-01136-2024-07-16T170800_22,505.858224651132,0.784616237637175,6.781802185491729e-145,0.99605462598505,2024-07-16,170800,22,17H 8M 0S,28.35,765.9,160,25-90,90,NA,NA,NA,NA,NA,NA,NA,NA,0.00552967082572676,1.9883749822821e-4,67.02,57.215,9.6647222332024e-5,0.347930000395287,90-35,2024-07-16,25
16-July-2024 (Day 1)/TG10-01136-2024-07-16T171500_23,538.556891410378,1.286934764937,4.96912102064415e-177,0.998862338274143,2024-07-16,171500,23,17H 15M 0S,28.35,765.9,160,25-90,90,NA,NA,NA,NA,NA,NA,NA,NA,0.00906981691548474,3.2613509225044e-4,73.203,62.493,1.4513332558022e-4,0.522479972088795,90-35,2024-07-16,25
16-July-2024 (Day 1)/TG10-01136-2024-07-16T172000_24,513.672944926162,0.673240685543963,2.42672556235129e-153,0.997154640743123,2024-07-16,172000,24,17H 20M 0S,28.35,765.9,160,25-90,90,NA,NA,NA,NA,NA,NA,NA,NA,0.00474473914630638,1.7061269853672e-4,72.877,62.215,7.62635883035663e-5,0.274548917892839,90-35,2024-07-16,25
16-July-2024 (Day 1)/TG10-01136-2024-07-16T172500_25,449.580524739195,1.53895564964097,1.7553853061406199e-112,0.986170414865131,2024-07-16,172500,25,17H 25M 0S,28.35,765.9,160,25-50,50,NA,NA,NA,NA,NA,NA,NA,NA,0.0108459623312591,3.9000224132539e-4,72.928,62.259,1.742071400321e-4,0.627145704115593,50-35,2024-07-16,25
16-July-2024 (Day 1)/TG10-01136-2024-07-16T173100_26,528.985295048096,1.12945789865872,4.0862164521385e-124,0.991183141256582,2024-07-16,173100,26,17H 31M 0S,28.35,765.9,160,25-50,50,NA,NA,NA,NA,NA,NA,NA,NA,0.00795998106017766,2.8622729450477e-4,72.772,62.125,1.2812846776945e-4,0.461262483970053,50-35,2024-07-16,25
16-July-2024 (Day 1)/TG10-01136-2024-07-16T173600_27,514.317541471345,1.16880120579867,2.4967582456323098e-124,0.991255833190184,2024-07-16,173600,27,17H 36M 0S,28.35,765.9,160,25-50,50,NA,NA,NA,NA,NA,NA,NA,NA,0.00823725742439689,2.9619767797184e-4,72.61,61.987,1.3288685408871e-4,0.478392674719357,50-35,2024-07-16,25
16-July-2024 (Day 1)/TG10-01136-2024-07-16T174200_28,558.401902960303,1.64504975613061,2.9328878659952696e-113,0.986580061523698,2024-07-16,174200,28,17H 42M 0S,28.35,765.9,160,25-50,50,NA,NA,NA,NA,NA,NA,NA,NA,0.0115936724311724,4.168886167268e-4,72.627,62.002,1.8698868473875e-4,0.673159265059525,50-35,2024-07-16,25
16-July-2024 (Day 1)/TG10-01136-2024-07-16T174900_29,517.248985354288,0.687635103644493,1.59801692240526e-138,0.994951287855245,2024-07-16,174900,29,17H 49M 0S,28.35,765.9,160,25-50,50,NA,NA,NA,NA,NA,NA,NA,NA,0.0048461854203008,1.7426053291265e-4,72.817,62.164,7.79580693053987e-5,0.280649049499435,50-35,2024-07-16,25
16-July-2024 (Day 1)/TG10-01136-2024-07-16T175300_30,467.19230821027,1.22834899742582,1.2146707260931198e-118,0.989103379038772,2024-07-16,175300,30,17H 53M 0S,28.35,765.9,160,25-50,50,NA,NA,NA,NA,NA,NA,NA,NA,0.00865692715630138,3.1128828321831e-4,73.503,62.75,1.3795899850679e-4,0.496652394624462,50-35,2024-07-16,25
16-July-2024 (Day 1)/TG10-01136-2024-07-16T180000_31,589.096218236011,0.504947852594501,1.94852182645299e-79,0.950333894102991,2024-07-16,180000,31,18H 0M 0S,28.35,765.9,160,25-20,20,NA,NA,NA,NA,NA,NA,NA,NA,0.00355867655430343,1.2796391781026e-4,71.34,60.903,5.8431876168718e-5,0.210354754207385,20-35,2024-07-16,25
16-July-2024 (Day 1)/TG10-01136-2024-07-16T180400_32,567.24406302669,0.363149309036715,1.20681564508225e-83,0.957794953143271,2024-07-16,180400,32,18H 4M 0S,28.35,765.9,160,25-20,20,NA,NA,NA,NA,NA,NA,NA,NA,0.00255933543462013,9.20293216332302e-5,72.029,61.491,4.16213012411594e-5,0.149836684468174,20-35,2024-07-16,25
16-July-2024 (Day 1)/TG10-01136-2024-07-16T180900_33,590.760982421081,0.447625423384364,7.292216219523138e-89,0.96551084492352,2024-07-16,180900,33,18H 9M 0S,28.35,765.9,160,25-20,20,NA,NA,NA,NA,NA,NA,NA,NA,0.00315469031331303,1.1343726405296e-4,73.469,62.72,5.02979960668531e-5,0.181072785840671,20-35,2024-07-16,25
16-July-2024 (Day 1)/TG10-01136-2024-07-16T181400_34,607.671427486862,0.377475026043477,1.3338329148842499e-84,0.960419489661877,2024-07-16,181400,34,18H 14M 0S,28.35,765.9,160,25-20,20,NA,NA,NA,NA,NA,NA,NA,NA,0.00266029752996048,9.56597457734802e-5,70.889,60.518,4.39587813536548e-5,0.158251612873157,20-35,2024-07-16,25
16-July-2024 (Day 1)/TG10-01136-2024-07-16T181900_35,592.892671746881,0.303755347593583,1.6393213992515e-91,0.969773324065899,2024-07-16,181900,35,18H 19M 0S,28.35,765.9,160,25-20,20,NA,NA,NA,NA,NA,NA,NA,NA,0.00214074983816922,7.69777000420433e-5,71.223,60.803,3.52079640506098e-5,0.126748670582195,20-35,2024-07-16,25
16-July-2024 (Day 1)/TG10-01136-2024-07-16T182500_36,602.352374556293,0.280261875084677,4.4824231684022904e-93,0.97069627474409,2024-07-16,182500,36,18H 25M 0S,28.35,765.9,160,25-20,20,NA,NA,NA,NA,NA,NA,NA,NA,0.00197517695897578,7.10239827031924e-5,68.1,58.137,3.39745249836727e-5,0.122308289941222,20-35,2024-07-16,25
17-July-2024 (Day 2)/TG10-01136-2024-07-17T092600_01,561.644633322043,0.346065011516054,3.8400615089616795e-141,0.995437934978576,2024-07-17,092600,1,9H 26M 0S,30.69,766.5,160,25-90,90,NA,NA,NA,NA,NA,NA,NA,NA,0.00242204461586501,8.70925787797557e-5,74.469,63.574,3.80980371828893e-5,0.137152933858402,90-25,2024-07-17,48
17-July-2024 (Day 2)/TG10-01136-2024-07-17T093200_02,563.830100135483,0.580385408481236,1.6347420124239997e-159,0.997759136545841,2024-07-17,093200,2,9H 32M 0S,30.69,766.5,160,25-90,90,NA,NA,NA,NA,NA,NA,NA,NA,0.00406200946920455,1.4606290791817e-4,73.443,62.698,6.47869065872045e-5,0.233232863713936,90-25,2024-07-17,48
17-July-2024 (Day 2)/TG10-01136-2024-07-17T093800_03,595.987633572687,0.481958887684595,5.135154836784879e-140,0.995234716673173,2024-07-17,093800,3,9H 38M 0S,30.69,766.5,160,25-90,90,NA,NA,NA,NA,NA,NA,NA,NA,0.00337314056648171,1.2129236125428e-4,73.713,62.929,5.36023227205535e-5,0.192968361793992,90-25,2024-07-17,48
17-July-2024 (Day 2)/TG10-01136-2024-07-17T094400_04,570.351410073161,0.57032912207018,1.1213709337712796e-171,0.998600456223568,2024-07-17,094400,4,9H 44M 0S,30.69,766.5,160,25-90,90,NA,NA,NA,NA,NA,NA,NA,NA,0.00399162739200237,1.4353208888897e-4,73.815,63.016,6.33430778215432e-5,0.228035080157556,90-25,2024-07-17,48
17-July-2024 (Day 2)/TG10-01136-2024-07-17T095000_05,617.76193622138,0.922663765072481,6.55626568903996e-163,0.998035158900038,2024-07-17,095000,5,9H 50M 0S,30.69,766.5,160,25-90,90,NA,NA,NA,NA,NA,NA,NA,NA,0.00645755199191488,2.3220251678946e-4,73.879,63.071,1.0238543850446e-4,0.368587578616061,90-25,2024-07-17,48
17-July-2024 (Day 2)/TG10-01136-2024-07-17T095700_06,642.750968290204,0.729796484216231,1.8875800512233698e-165,0.998219153876152,2024-07-17,095700,6,9H 57M 0S,30.69,766.5,160,25-90,90,NA,NA,NA,NA,NA,NA,NA,NA,0.00510770978415174,1.8366450140783e-4,74.342,63.466,8.04794659211506e-5,0.28972607731614203,90-25,2024-07-17,48
17-July-2024 (Day 2)/TG10-01136-2024-07-17T100300_07,717.626296477442,1.20832914916678,4.2276387839943395e-120,0.989701268183555,2024-07-17,100300,7,10H 3M 0S,30.69,766.5,160,25-50,50,NA,NA,NA,NA,NA,NA,NA,NA,0.00845687085530857,3.0409460105388e-4,73.378,62.643,1.350010512796e-4,0.486003784606594,50-25,2024-07-17,48
17-July-2024 (Day 2)/TG10-01136-2024-07-17T100700_08,598.942381601409,1.77514951226121,2.4795131313674e-116,0.988084558834358,2024-07-17,100700,8,10H 7M 0S,30.69,766.5,160,25-50,50,NA,NA,NA,NA,NA,NA,NA,NA,0.0124239410961897,4.4674365682091e-4,73.755,62.965,1.9731503368839e-4,0.710334121278216,50-25,2024-07-17,48
17-July-2024 (Day 2)/TG10-01136-2024-07-17T101200_09,629.904698455494,1.21193306462539,2.52097016899714e-128,0.992508539117161,2024-07-17,101200,9,10H 12M 0S,30.69,766.5,160,25-50,50,NA,NA,NA,NA,NA,NA,NA,NA,0.00848209398894556,3.0500158176719e-4,72.528,61.917,1.3699135922195e-4,0.493168893199025,50-25,2024-07-17,48
17-July-2024 (Day 2)/TG10-01136-2024-07-17T101700_10,609.550220092129,1.72890716027638,2.80110963718105e-123,0.990893250297031,2024-07-17,101700,10,10H 17M 0S,30.69,766.5,160,25-50,50,NA,NA,NA,NA,NA,NA,NA,NA,0.0121002994799537,4.3510605825076e-4,72.996,62.317,1.9417333119299e-4,0.699023992294772,50-25,2024-07-17,48
17-July-2024 (Day 2)/TG10-01136-2024-07-17T102100_11,459.369375274354,1.80626382603983,2.7682693801827e-112,0.986064141166471,2024-07-17,102100,11,10H 21M 0S,30.69,766.5,160,25-50,50,NA,NA,NA,NA,NA,NA,NA,NA,0.0126417043882188,4.5457405207547e-4,72.345,61.761,2.046874951542e-4,0.736874982555137,50-25,2024-07-17,48
17-July-2024 (Day 2)/TG10-01136-2024-07-17T102700_12,621.409519414713,1.82933361333153,3.4648276844445495e-112,0.986011480475774,2024-07-17,102700,12,10H 27M 0S,30.69,766.5,160,25-50,50,NA,NA,NA,NA,NA,NA,NA,NA,0.0128031655363835,4.6037991860422e-4,72.647,62.019,2.0643940625265e-4,0.743181862509564,50-25,2024-07-17,48
17-July-2024 (Day 2)/TG10-01136-2024-07-17T103300_13,643.682324181077,0.510281783457185,1.3744154270971202e-79,0.951870047209959,2024-07-17,103300,13,10H 33M 0S,30.69,766.5,160,25-20,20,NA,NA,NA,NA,NA,NA,NA,NA,0.00357136724334565,1.2842025326665e-4,71.429,60.979,5.85671664564136e-5,0.210841799243089,20-25,2024-07-17,48
17-July-2024 (Day 2)/TG10-01136-2024-07-17T103900_14,649.106337657499,0.547825193063271,6.3689481406958495e-77,0.945260716586655,2024-07-17,103900,14,10H 39M 0S,30.69,766.5,160,25-20,20,NA,NA,NA,NA,NA,NA,NA,NA,0.00383412658067154,1.3786862929419e-4,72.378,61.789,6.2051928023945e-5,0.223386940886202,20-25,2024-07-17,48
17-July-2024 (Day 2)/TG10-01136-2024-07-17T104500_15,650.859762417017,0.533495949058391,6.11354414500856e-78,0.947373842794236,2024-07-17,104500,15,10H 45M 0S,30.69,766.5,160,25-20,20,NA,NA,NA,NA,NA,NA,NA,NA,0.00373383886843101,1.3426245481593e-4,72.034,61.495,6.07177635324988e-5,0.218583948716996,20-25,2024-07-17,48
17-July-2024 (Day 2)/TG10-01136-2024-07-17T104900_16,650.937136573635,0.52758299010974,8.347323439334169e-83,0.956401129731333,2024-07-17,104900,16,10H 49M 0S,30.69,766.5,160,25-20,20,NA,NA,NA,NA,NA,NA,NA,NA,0.00369245516910044,1.3277436782094e-4,72.361,61.775,5.97726453921561e-5,0.215181523411762,20-25,2024-07-17,48
17-July-2024 (Day 2)/TG10-01136-2024-07-17T105000_17,476.909905771576,0.630818974393713,5.73644105401274e-78,0.947430099250196,2024-07-17,105000,17,10H 50M 0S,30.69,766.5,160,25-20,20,NA,NA,NA,NA,NA,NA,NA,NA,0.00441498461177113,1.5875528988749e-4,72.218,61.653,7.16102154278159e-5,0.257796775540137,20-25,2024-07-17,48
17-July-2024 (Day 2)/TG10-01136-2024-07-17T110100_18,689.170574082103,0.583255344804225,4.04092409516422e-76,0.943535109764242,2024-07-17,110100,18,11H 1M 0S,30.69,766.5,160,25-20,20,NA,NA,NA,NA,NA,NA,NA,NA,0.00408209561945857,1.4678517150156e-4,72.434,61.837,6.60138043478592e-5,0.237649695652293,20-25,2024-07-17,48
17-July-2024 (Day 2)/TG10-01136-2024-07-17T110600_19,597.450411143477,0.619101077089823,9.326587791635389e-148,0.996468207525953,2024-07-17,110600,19,11H 6M 0S,30.69,766.5,160,25-90,90,NA,NA,NA,NA,NA,NA,NA,NA,0.00433297322914157,1.5580630094e-4,73.178,62.472,6.9358644338929e-5,0.249691119620144,90-35,2024-07-17,48
17-July-2024 (Day 2)/TG10-01136-2024-07-17T111100_20,592.934118087403,0.395382506610799,1.69516529801761e-263,0.996855981837892,2024-07-17,111100,20,11H 11M 0S,30.69,766.5,160,25-90,90,NA,NA,NA,NA,NA,NA,NA,NA,0.00276720858646952,9.95040843750275e-5,73.16,62.457,4.43058197875261e-5,0.159500951235094,90-35,2024-07-17,48
17-July-2024 (Day 2)/TG10-01136-2024-07-17T111800_21,613.496550033871,0.349670999864516,1.9824164831862798e-152,0.997052407791093,2024-07-17,111800,21,11H 18M 0S,30.69,766.5,160,25-90,90,NA,NA,NA,NA,NA,NA,NA,NA,0.00244728225727233,8.80000811676496e-5,73.335,62.606,3.90902191047557e-5,0.14072478877712,90-35,2024-07-17,48
17-July-2024 (Day 2)/TG10-01136-2024-07-17T112500_22,634.028078038206,1.08801165153773,2.3040545575048696e-146,0.996272631153396,2024-07-17,112500,22,11H 25M 0S,30.69,766.5,160,25-90,90,NA,NA,NA,NA,NA,NA,NA,NA,0.00761479107945911,2.7381485363031e-4,67.02,57.215,1.330908167344e-4,0.479126940243866,90-35,2024-07-17,48
17-July-2024 (Day 2)/TG10-01136-2024-07-17T112900_23,530.809197750982,1.42293540170709,8.716406400118779e-155,0.997309349584257,2024-07-17,112900,23,11H 29M 0S,30.69,766.5,160,25-90,90,NA,NA,NA,NA,NA,NA,NA,NA,0.0099588600804519,3.5810356276346e-4,73.203,62.493,1.593596095635e-4,0.573694594428606,90-35,2024-07-17,48
17-July-2024 (Day 2)/TG10-01136-2024-07-17T113500_24,590.417961902182,0.769745908413493,4.71095654434045e-138,0.994858717141201,2024-07-17,113500,24,11H 35M 0S,30.69,766.5,160,25-90,90,NA,NA,NA,NA,NA,NA,NA,NA,0.00538730836986256,1.9371838798499e-4,72.877,62.215,8.65917924915625e-5,0.311730452969625,90-35,2024-07-17,48
17-July-2024 (Day 2)/TG10-01136-2024-07-17T114000_25,568.80377481371,1.695480470126,1.5992413802638795e-107,0.98324470300027,2024-07-17,114000,25,11H 40M 0S,30.69,766.5,160,25-50,50,NA,NA,NA,NA,NA,NA,NA,NA,0.011866352296012,4.2669371794361e-4,72.928,62.259,1.9059657713763e-4,0.686147677695486,50-35,2024-07-17,48
17-July-2024 (Day 2)/TG10-01136-2024-07-17T114600_26,644.506459626067,1.35628447364856,1.19747380110131e-123,0.991022382247861,2024-07-17,114600,26,11H 46M 0S,30.69,766.5,160,25-50,50,NA,NA,NA,NA,NA,NA,NA,NA,0.00949238263813734,3.4132983236739e-4,72.772,62.125,1.5279489155955e-4,0.550061609614397,50-35,2024-07-17,48
17-July-2024 (Day 2)/TG10-01136-2024-07-17T115100_27,633.567079257553,1.26268968974394,1.94443347189758e-121,0.990220651542525,2024-07-17,115100,27,11H 51M 0S,30.69,766.5,160,25-50,50,NA,NA,NA,NA,NA,NA,NA,NA,0.0088373301627769,3.1777526655077e-4,72.61,61.987,1.4256747645114e-4,0.513242915224109,50-35,2024-07-17,48
17-July-2024 (Day 2)/TG10-01136-2024-07-17T115500_28,630.79750852188,1.7521524454681,4.86861663731882e-115,0.987473214055317,2024-07-17,115500,28,11H 55M 0S,30.69,766.5,160,25-50,50,NA,NA,NA,NA,NA,NA,NA,NA,0.0122629889052619,4.4095609152326e-4,72.627,62.002,1.9778376351185e-4,0.712021548642671,50-35,2024-07-17,48
17-July-2024 (Day 2)/TG10-01136-2024-07-17T115900_29,611.867229779163,1.66944451971278,3.21421149113449e-125,0.991551950570259,2024-07-17,115900,29,11H 59M 0S,30.69,766.5,160,25-50,50,NA,NA,NA,NA,NA,NA,NA,NA,0.0116841315241373,4.2014137087872e-4,72.817,62.164,1.8795655884655e-4,0.676643611847603,50-35,2024-07-17,48
17-July-2024 (Day 2)/TG10-01136-2024-07-17T120600_30,637.514968310527,1.06685938219753,4.504917068184559e-120,0.989690267700393,2024-07-17,120600,30,12H 6M 0S,30.69,766.5,160,25-50,50,NA,NA,NA,NA,NA,NA,NA,NA,0.00746675028260328,2.6849155996416e-4,73.503,62.75,1.1899203637614e-4,0.428371330954133,50-35,2024-07-17,48
17-July-2024 (Day 2)/TG10-01136-2024-07-17T121200_31,611.042547026148,0.423297683240753,1.0271596063780799e-97,0.975511651569941,2024-07-17,121200,31,12H 12M 0S,30.69,766.5,160,25-20,20,NA,NA,NA,NA,NA,NA,NA,NA,0.00296258171292718,1.0652936759896e-4,71.34,60.903,4.86442656835818e-5,0.175119356460895,20-35,2024-07-17,48
17-July-2024 (Day 2)/TG10-01136-2024-07-17T121700_32,728.734992494242,0.681677252404823,4.4146107322946405e-74,0.938903003285289,2024-07-17,121700,32,12H 17M 0S,30.69,766.5,160,25-20,20,NA,NA,NA,NA,NA,NA,NA,NA,0.00477093223528077,1.7155455718377e-4,72.029,61.491,7.75874881735664e-5,0.27931495742483903,20-35,2024-07-17,48
17-July-2024 (Day 2)/TG10-01136-2024-07-17T122300_33,722.940787074922,0.684487284920742,3.48716442823958e-76,0.943674734228155,2024-07-17,122300,33,12H 23M 0S,30.69,766.5,160,25-20,20,NA,NA,NA,NA,NA,NA,NA,NA,0.0047905991299367,1.7226174505345e-4,73.469,62.72,7.63807259237356e-5,0.274970613325448,20-35,2024-07-17,48
17-July-2024 (Day 2)/TG10-01136-2024-07-17T122800_34,631.893888958136,0.744769462132501,2.1199421903906302e-73,0.937271304200576,2024-07-17,122800,34,12H 28M 0S,30.69,766.5,160,25-20,20,NA,NA,NA,NA,NA,NA,NA,NA,0.00521250287024472,1.8743268141836e-4,70.889,60.518,8.61314463505853e-5,0.310073206862107,20-35,2024-07-17,48
17-July-2024 (Day 2)/TG10-01136-2024-07-17T123400_35,648.469905852865,0.815470457932532,4.36152341496153e-72,0.934002689051378,2024-07-17,123400,35,12H 34M 0S,30.69,766.5,160,25-20,20,NA,NA,NA,NA,NA,NA,NA,NA,0.00570732598299911,2.0522567360658e-4,71.223,60.803,9.38658616022089e-5,0.337917101767952,20-35,2024-07-17,48
17-July-2024 (Day 2)/TG10-01136-2024-07-17T123900_36,630.041514286682,0.653738253624169,2.16089716768096e-72,0.934776651573839,2024-07-17,123900,36,12H 39M 0S,30.69,766.5,160,25-20,20,NA,NA,NA,NA,NA,NA,NA,NA,0.00457539238202345,1.6452327874949e-4,68.1,58.137,7.87001802986643e-5,0.283320649075192,20-35,2024-07-17,48
