Model,Intercept_CO2,TIME_CO2,TIME_CO2_pvalue,TIME_CO2_r2,Intercept_CH4,TIME_CH4,TIME_CH4_pvalue,TIME_CH4_r2,Date,TimeLog,JarID,Time,T.Air,A.Pressure,Volume,Soil_jar,Area,Label,STAGE_1,STAGE_2,STAGE_3,one_hour,two_min,four_hour,eight_hour,PRE_WET,twenty_four_hour,finalC02_flux,finalCH4_flux,finalC02_flux_byarea,finalCH4_flux_byarea,finalC02flux_gSoil,finalCH4flux_gSoil,finalC02flux_gSoil_hr,finalCH4flux_gSoil_hr
16-July-2024 (Day 1)/TG10-01136-2024-07-16T155700_11,-83302.44762,1.458409301,5.34206043100038e-123,0.990793908,529.0582867,0.02474414,5.63073602407922e-66,0.916408383,7/16/2024,155700,11,15H 57M 0S,28.35,765.9,160,61.761,27.8,25-50,50,NA,NA,NA,NA,NA,NA,NA,NA,0.010278303,0.000174387,0.00036959,6.27066166752222e-06,0.000166421,2.82357798610774e-06,0.599114179,0.010164881
16-July-2024 (Day 1)/TG10-01136-2024-07-16T161700_12,-32888.54093,0.56952837,2.94799693491992e-127,0.992192459,923.6516975,0.017580477,2.22963529816717e-53,0.86395671,7/16/2024,161700,12,16H 17M 0S,28.35,765.9,160,62.019,27.8,25-50,50,NA,NA,NA,NA,NA,NA,NA,NA,0.004013815,0.0001239,0.00014433,4.45524560517842e-06,6.47191183347039e-05,1.9977748754414e-06,0.232988826,0.00719199
16-July-2024 (Day 1)/TG10-01136-2024-07-16T162200_13,-23243.06044,0.402697914,2.6646621159447e-87,0.96336132,1420.203271,0.00900569,6.70970836017656e-34,0.71136305,7/16/2024,162200,13,16H 22M 0S,28.35,765.9,160,60.979,27.8,25-20,20,NA,NA,NA,NA,NA,NA,NA,NA,0.002838059,6.34686110872218e-05,0.000102052,2.28222262089974e-06,4.65415798881582e-05,1.04082735182968e-06,0.167549688,0.003746978
16-July-2024 (Day 1)/TG10-01136-2024-07-16T162700_14,-26231.04369,0.451882367,4.38560288953137e-85,0.960081172,1270.341511,0.011854288,4.13873832302454e-32,0.69073284,7/16/2024,162700,14,16H 27M 0S,28.35,765.9,160,61.789,27.8,25-20,20,NA,NA,NA,NA,NA,NA,NA,NA,0.003184692,8.35444228308913e-05,0.000114516,3.00411444915107e-06,5.15414070465617e-05,1.35209216577208e-06,0.185549065,0.004867532
16-July-2024 (Day 1)/TG10-01136-2024-07-16T163200_15,-14181.0087,0.246743998,1.52098486799596e-90,0.967682112,1470.688921,0.008248815,7.86773399578221e-30,0.662334664,7/16/2024,163200,15,16H 32M 0S,28.35,765.9,160,61.495,27.8,25-20,20,NA,NA,NA,NA,NA,NA,NA,NA,0.001738956,5.81344443702715e-05,6.25298801276707e-05,2.09041511579545e-06,2.8278006341979e-05,9.45352376132555e-07,0.101800823,0.003403269
16-July-2024 (Day 1)/TG10-01136-2024-07-16T163600_16,-16929.27001,0.291677639,2.47976315789355e-98,0.976089534,1525.040027,0.007269001,5.79063737820724e-34,0.712074425,7/16/2024,163600,16,16H 36M 0S,28.35,765.9,160,61.775,27.8,25-20,20,NA,NA,NA,NA,NA,NA,NA,NA,0.002055631,5.12291022604823e-05,7.39169662220403e-05,1.8421108328113e-06,3.32760987454472e-05,8.29285346183445e-07,0.119793955,0.002985427
16-July-2024 (Day 1)/TG10-01136-2024-07-16T164100_17,-37472.12055,0.632610893,1.46683296442055e-78,0.94862076,1498.194995,0.007641851,5.9276844714263e-29,0.650728105,7/16/2024,164100,17,16H 41M 0S,28.35,765.9,160,61.653,27.8,25-20,20,NA,NA,NA,NA,NA,NA,NA,NA,0.004458396,5.38567988155013e-05,0.000160316,1.93659830332619e-06,7.23143399347964e-05,8.73547091228347e-07,0.260331624,0.00314477
16-July-2024 (Day 1)/TG10-01136-2024-07-16T164600_18,-23532.83519,0.398482015,8.6206728869923e-83,0.956377521,1234.820541,0.012027368,2.08725641191065e-37,0.747891626,7/16/2024,164600,18,16H 46M 0S,28.35,765.9,160,61.837,27.8,25-20,20,NA,NA,NA,NA,NA,NA,NA,NA,0.002808347,8.47642201961056e-05,0.000100983,3.04797627458129e-06,4.54153176900561e-05,1.37076863683726e-06,0.163495144,0.004934767
16-July-2024 (Day 1)/TG10-01136-2024-07-16T165200_19,-61649.60676,1.023803265,1.74527159222498e-164,0.998151324,199.4307064,0.028929413,4.67865673042004e-120,0.989683709,7/16/2024,165200,19,16H 52M 0S,28.35,765.9,160,62.472,27.8,25-90,90,NA,NA,NA,NA,NA,NA,NA,NA,0.007215368,0.000203883,0.000259452,7.33129382430431e-06,0.000115498,3.26359008835958e-06,0.415791471,0.011748924
16-July-2024 (Day 1)/TG10-01136-2024-07-16T165700_20,-26492.7448,0.442701849,8.21476813296383e-167,0.998310541,2155.859565,-0.003265614,4.73746696902034e-19,0.488812171,7/16/2024,165700,20,16H 57M 0S,28.35,765.9,160,62.457,27.8,25-90,90,NA,NA,NA,NA,NA,NA,NA,NA,0.003119991,-2.30E-05,0.00011219,-8.28E-07,4.99542245064604e-05,-3.68E-07,0.179835208,-0.001325712
16-July-2024 (Day 1)/TG10-01136-2024-07-16T170300_21,-18079.43658,0.302979305,3.77673129568025e-141,0.99543921,1856.945104,0.001558867,7.0517483453681e-09,0.246361629,7/16/2024,170300,21,17H 3M 0S,28.35,765.9,160,62.606,27.8,25-90,90,NA,NA,NA,NA,NA,NA,NA,NA,0.002135281,1.09862923555702e-05,7.67810352702138e-05,3.95048268808707e-07,3.4106651119701e-05,1.75483058422039e-07,0.122783944,0.000631739
16-July-2024 (Day 1)/TG10-01136-2024-07-16T170800_22,-47889.27131,0.784616238,6.78180218565018e-145,0.996054626,2264.552517,-0.005038138,3.13643236837122e-39,0.765022038,7/16/2024,170800,22,17H 8M 0S,28.35,765.9,160,57.215,27.8,25-90,90,NA,NA,NA,NA,NA,NA,NA,NA,0.005529671,-3.55E-05,0.000198837,-1.28E-06,9.66472253779603e-05,-6.20E-07,0.347930011,-0.00223368
16-July-2024 (Day 1)/TG10-01136-2024-07-16T171500_23,-79380.09201,1.286934765,4.96912102080995e-177,0.998862338,-58668.7267,0.977129251,6.35192812501673e-163,0.998036204,7/16/2024,171500,23,17H 15M 0S,28.35,765.9,160,62.493,27.8,25-90,90,NA,NA,NA,NA,NA,NA,NA,NA,0.009069817,0.006886428,0.000326135,0.000247624,0.000145133,0.000110195,0.522479977,0.396702684
16-July-2024 (Day 1)/TG10-01136-2024-07-16T172000_24,-41496.54583,0.673240686,2.42672556242413e-153,0.997154641,2002.120527,-0.00083444,0.005677442,0.062514847,7/16/2024,172000,24,17H 20M 0S,28.35,765.9,160,62.215,27.8,25-90,90,NA,NA,NA,NA,NA,NA,NA,NA,0.004744739,-5.88E-06,0.000170613,-2.11E-07,7.62635859519409e-05,-9.45E-08,0.274548909,-0.000340239
16-July-2024 (Day 1)/TG10-01136-2024-07-16T172500_25,-96042.93871,1.53895565,1.75538530616053e-112,0.986170415,1628.656364,0.005074854,1.33163446301742e-25,0.602608815,7/16/2024,172500,25,17H 25M 0S,28.35,765.9,160,62.259,27.8,25-50,50,NA,NA,NA,NA,NA,NA,NA,NA,0.010845962,3.57656045462888e-05,0.000390002,1.28606992255623e-06,0.000174207,5.74464809044296e-07,0.627145685,0.002068073
16-July-2024 (Day 1)/TG10-01136-2024-07-16T173100_26,-70694.62979,1.129457899,4.08621645220052e-124,0.991183141,592.7069094,0.021423181,5.3045932170691e-65,0.913199672,7/16/2024,173100,26,17H 31M 0S,28.35,765.9,160,62.125,27.8,25-50,50,NA,NA,NA,NA,NA,NA,NA,NA,0.007959981,0.000150982,0.000286227,5.4290639650115e-06,0.000128128,2.43029376257545e-06,0.46126248,0.008749058
16-July-2024 (Day 1)/TG10-01136-2024-07-16T173600_27,-73540.92686,1.168801206,2.49675824566807e-124,0.991255833,1336.363899,0.009574854,1.48749189449974e-45,0.815934667,7/16/2024,173600,27,17H 36M 0S,28.35,765.9,160,61.987,27.8,25-50,50,NA,NA,NA,NA,NA,NA,NA,NA,0.008237257,6.74798586263964e-05,0.000296198,2.4264602166989e-06,0.000132887,1.08861307413484e-06,0.47839265,0.003919007
16-July-2024 (Day 1)/TG10-01136-2024-07-16T174200_28,-104264.1686,1.645049756,2.93288786603145e-113,0.986580062,912.3253597,0.016219211,3.169954985567e-50,0.846329007,7/16/2024,174200,28,17H 42M 0S,28.35,765.9,160,62.002,27.8,25-50,50,NA,NA,NA,NA,NA,NA,NA,NA,0.011593672,0.000114307,0.000416889,4.11027363569566e-06,0.000186989,1.84360181929615e-06,0.67315924,0.006636967
16-July-2024 (Day 1)/TG10-01136-2024-07-16T174900_29,-43587.66656,0.687635104,1.59801692244541e-138,0.994951288,1485.881533,0.00716197,8.61696913909783e-41,0.778764879,7/16/2024,174900,29,17H 49M 0S,28.35,765.9,160,62.164,27.8,25-50,50,NA,NA,NA,NA,NA,NA,NA,NA,0.004846185,5.04747852988395e-05,0.000174261,1.8149868859705e-06,7.79580625442378e-05,8.1196167072324e-07,0.280649025,0.002923062
16-July-2024 (Day 1)/TG10-01136-2024-07-16T175300_30,-78613.91615,1.228348997,1.21467072610928e-118,0.989103379,1681.900584,0.004250576,2.59316407177757e-20,0.512981197,7/16/2024,175300,30,17H 53M 0S,28.35,765.9,160,62.75,27.8,25-50,50,NA,NA,NA,NA,NA,NA,NA,NA,0.008656927,2.99564091098892e-05,0.000311288,1.0771811977666e-06,0.000137959,4.77392973862776e-07,0.496652386,0.001718615
16-July-2024 (Day 1)/TG10-01136-2024-07-16T180000_31,-32131.52463,0.504947853,1.94852182646784e-79,0.950333894,1946.137374,0.00109328,0.000484062,0.097644884,7/16/2024,180000,31,18H 0M 0S,28.35,765.9,160,60.903,27.8,25-20,20,NA,NA,NA,NA,NA,NA,NA,NA,0.003558677,7.70501357234044e-06,0.000127964,2.770591000482e-07,5.84318834868562e-05,1.26512874116882e-07,0.210354781,0.000455446
16-July-2024 (Day 1)/TG10-01136-2024-07-16T180400_32,-23051.987,0.363149309,1.20681564509055e-83,0.957794953,2739.446264,-0.010650183,2.7700534086587e-33,0.70442595,7/16/2024,180400,32,18H 4M 0S,28.35,765.9,160,61.491,27.8,25-20,20,NA,NA,NA,NA,NA,NA,NA,NA,0.002559335,-7.51E-05,9.20293216332308e-05,-2.70E-06,4.1621294173131e-05,-1.22E-06,0.149836659,-0.004396741
16-July-2024 (Day 1)/TG10-01136-2024-07-16T180900_33,-28657.08418,0.447625423,7.29221621958388e-89,0.965510845,2762.418853,-0.010454071,2.38630483033563e-33,0.705163266,7/16/2024,180900,33,18H 9M 0S,28.35,765.9,160,62.72,27.8,25-20,20,NA,NA,NA,NA,NA,NA,NA,NA,0.00315469,-7.37E-05,0.000113437,-2.65E-06,5.02979910714286e-05,-1.18E-06,0.181072768,-0.00423023
16-July-2024 (Day 1)/TG10-01136-2024-07-16T181400_34,-24169.78928,0.377475026,1.33383291484003e-84,0.96041949,2057.641928,-0.000443816,0.131397437,0.019182815,7/16/2024,181400,34,18H 14M 0S,28.35,765.9,160,60.518,27.8,25-20,20,NA,NA,NA,NA,NA,NA,NA,NA,0.002660298,-3.13E-06,9.56597457734782e-05,-1.12E-07,4.39587891205922e-05,-5.17E-08,0.158251641,-0.000186193
16-July-2024 (Day 1)/TG10-01136-2024-07-16T181900_35,-19436.73495,0.303755348,1.6393213992014e-91,0.969773324,1927.940687,0.001328078,9.79878796218425e-06,0.153270327,7/16/2024,181900,35,18H 19M 0S,28.35,765.9,160,60.803,27.8,25-20,20,NA,NA,NA,NA,NA,NA,NA,NA,0.00214075,9.35978086091697e-06,7.69777000420413e-05,3.36561699421682e-07,3.52079667121688e-05,1.53936168625182e-07,0.12674868,0.00055417
16-July-2024 (Day 1)/TG10-01136-2024-07-16T182500_36,-17979.00994,0.280261875,4.48242316845288e-93,0.970696275,2087.781931,-0.001326379,0.000181439,0.111532309,7/16/2024,182500,36,18H 25M 0S,28.35,765.9,160,58.137,27.8,25-20,20,NA,NA,NA,NA,NA,NA,NA,NA,0.001975177,-9.35E-06,7.10239827031928e-05,-3.36E-07,3.39745256893201e-05,-1.61E-07,0.122308292,-0.000578977
16-July-2024 (Day 1)/TG10-01136-2024-07-16T183900_82,-183.9577155,0.011174096,4.13651473981349e-11,0.30749817,1746.734324,0.003271643,1.39643167828026e-20,0.517983142,7/16/2024,183900,82,18H 39M 0S,28.35,765.9,160,NA,27.8,BLANK,BLANK,NA,NA,NA,NA,NA,NA,NA,NA,7.87506907979065e-05,2.30572734053898e-05,2.83174005026632e-06,8.29100086493701e-07,NA,NA,NA,NA
16-July-2024 (Day 1)/TG10-01136-2024-07-16T184400_83,169.3002849,0.006917674,2.88265047229688e-05,0.137238492,1871.809377,0.0015609,1.00683869767572e-07,0.212828656,7/16/2024,184400,83,18H 44M 0S,28.35,765.9,160,NA,27.8,BLANK,BLANK,NA,NA,NA,NA,NA,NA,NA,NA,4.87530807045766e-05,1.1000614829495e-05,1.7530773356554e-06,3.9556328045649e-07,NA,NA,NA,NA
16-July-2024 (Day 1)/TG10-01136-2024-07-16T185100_84,-481.9713524,0.015263697,3.15072834458836e-24,0.581031238,1807.752971,0.002257689,3.37633346401965e-11,0.309816121,7/16/2024,185100,84,18H 51M 0S,28.35,765.9,160,NA,27.8,BLANK,BLANK,NA,NA,NA,NA,NA,NA,NA,NA,0.000107573,1.59113137331383e-05,3.86812717532468e-06,5.7214360780792e-07,NA,NA,NA,NA
16-July-2024 (Day 1)/TG10-01136-2024-07-16T185600_85,-296.8445461,0.012946511,5.90907405847817e-15,0.401957814,1800.8592,0.002708576,7.43814965755466e-15,0.399667938,7/16/2024,185600,85,18H 56M 0S,28.35,765.9,160,NA,27.8,BLANK,BLANK,NA,NA,NA,NA,NA,NA,NA,NA,9.1241988716777e-05,1.90889932880905e-05,3.28090574314193e-06,6.86407525641513e-07,NA,NA,NA,NA
17-July-2024 (Day 2)/TG10-01136-2024-07-17T092600_01,-11190.72316,0.346065012,3.8400615090228e-141,0.995437935,1726.720596,0.00731974,2.31192216079431e-41,0.783592103,7/17/2024,092600,1,9H 26M 0S,30.69,766.5,160,63.574,27.8,25-90,90,NA,NA,NA,NA,NA,NA,NA,NA,0.002422045,5.12294972277394e-05,8.70925787797561e-05,1.84212503515783e-06,3.80980432252179e-05,8.0582466460722e-07,0.137152956,0.002900969
17-July-2024 (Day 2)/TG10-01136-2024-07-17T093200_02,-19354.99712,0.580385408,1.63474201243338e-159,0.997759137,1903.533169,0.002461591,5.29757778379277e-13,0.355653317,7/17/2024,093200,2,9H 32M 0S,30.69,766.5,160,62.698,27.8,25-90,90,NA,NA,NA,NA,NA,NA,NA,NA,0.004062009,1.72282143211149e-05,0.000146063,6.19497098925383e-07,6.47868991036397e-05,2.74780923173226e-07,0.233232837,0.000989211
17-July-2024 (Day 2)/TG10-01136-2024-07-17T093800_03,-16118.34659,0.481958888,5.13515483693288e-140,0.995234717,487.0108614,0.04314368,2.8617090720578e-85,0.960366464,7/17/2024,093800,3,9H 38M 0S,30.69,766.5,160,62.929,27.8,25-90,90,NA,NA,NA,NA,NA,NA,NA,NA,0.003373141,0.000301955,0.000121292,1.08577700711324e-05,5.360232960956e-05,4.798344165647e-06,0.192968387,0.017274039
17-July-2024 (Day 2)/TG10-01136-2024-07-17T094400_04,-19413.98103,0.570329122,1.12137093380934e-171,0.998600456,1915.419393,0.001622748,2.32034297134008e-06,0.171595063,7/17/2024,094400,4,9H 44M 0S,30.69,766.5,160,63.016,27.8,25-90,90,NA,NA,NA,NA,NA,NA,NA,NA,0.003991627,1.13573084391893e-05,0.000143532,4.08389372139135e-07,6.33430716008633e-05,1.80228964694511e-07,0.228035058,0.000648824
17-July-2024 (Day 2)/TG10-01136-2024-07-17T095000_05,-32044.53535,0.922663765,6.55626568925239e-163,0.998035159,2456.858593,-0.013529874,5.38270193967273e-61,0.898656144,7/17/2024,095000,5,9H 50M 0S,30.69,766.5,160,63.071,27.8,25-90,90,NA,NA,NA,NA,NA,NA,NA,NA,0.006457552,-9.47E-05,0.000232203,-3.41E-06,0.000102385,-1.50E-06,0.368587579,-0.005405337
17-July-2024 (Day 2)/TG10-01136-2024-07-17T095700_06,-25498.5591,0.729796484,1.88758005159655e-165,0.998219154,2456.654357,-0.01333024,1.31334061847463e-69,0.927362624,7/17/2024,095700,6,9H 57M 0S,30.69,766.5,160,63.466,27.8,25-90,90,NA,NA,NA,NA,NA,NA,NA,NA,0.00510771,-9.33E-05,0.000183665,-3.35E-06,8.04794693221567e-05,-1.47E-06,0.28972609,-0.005292282
17-July-2024 (Day 2)/TG10-01136-2024-07-17T100300_07,-42999.72232,1.208329149,4.22763878422962e-120,0.989701268,922.5618531,0.029803143,9.8988674958335e-64,0.908827389,7/17/2024,100300,7,10H 3M 0S,30.69,766.5,160,62.643,27.8,25-50,50,NA,NA,NA,NA,NA,NA,NA,NA,0.008456871,0.000208587,0.000304095,7.50041902861221e-06,0.000135001,3.32977347828169e-06,0.486003793,0.011987185
17-July-2024 (Day 2)/TG10-01136-2024-07-17T100700_08,-64052.00285,1.775149512,2.47951313149652e-116,0.988084559,-233.7567286,0.060762837,1.51076133435475e-66,0.918235079,7/17/2024,100700,8,10H 7M 0S,30.69,766.5,160,62.965,27.8,25-50,50,NA,NA,NA,NA,NA,NA,NA,NA,0.012423941,0.000425268,0.000446744,1.52919017913305e-05,0.000197315,6.75403795759549e-06,0.710334116,0.024314537
17-July-2024 (Day 2)/TG10-01136-2024-07-17T101200_09,-43872.27743,1.211933065,2.52097016914332e-128,0.992508539,-213.4343649,0.060123899,5.36639527902751e-76,0.943265389,7/17/2024,101200,9,10H 12M 0S,30.69,766.5,160,61.917,27.8,25-50,50,NA,NA,NA,NA,NA,NA,NA,NA,0.008482094,0.000420796,0.000305002,1.51311032708556e-05,0.000136991,6.79613030347077e-06,0.493168894,0.024466069
17-July-2024 (Day 2)/TG10-01136-2024-07-17T101700_10,-63394.59285,1.72890716,2.80110963734156e-123,0.99089325,-351.3344226,0.06312417,1.22611567638938e-74,0.940203712,7/17/2024,101700,10,10H 17M 0S,30.69,766.5,160,62.317,27.8,25-50,50,NA,NA,NA,NA,NA,NA,NA,NA,0.012100299,0.000441794,0.000435106,1.58861675702507e-05,0.000194173,7.08946194457371e-06,0.699023965,0.025522063
17-July-2024 (Day 2)/TG10-01136-2024-07-17T102100_11,-66842.02078,1.806263826,2.76826938032214e-112,0.986064141,-471.9716205,0.065579596,3.71317130845919e-65,0.913718057,7/17/2024,102100,11,10H 21M 0S,30.69,766.5,160,61.761,27.8,25-50,50,NA,NA,NA,NA,NA,NA,NA,NA,0.012641704,0.000458979,0.000454574,1.65041132839628e-05,0.000204687,7.43153446349638e-06,0.73687496,0.026753524
17-July-2024 (Day 2)/TG10-01136-2024-07-17T102700_12,-68198.12101,1.829333613,3.46482768461227e-112,0.98601148,165.1612569,0.048106286,9.72089258499355e-58,0.885058368,7/17/2024,102700,12,10H 27M 0S,30.69,766.5,160,62.019,27.8,25-50,50,NA,NA,NA,NA,NA,NA,NA,NA,0.012803166,0.000336687,0.00046038,1.21066863150992e-05,0.000206439,5.4287718279882e-06,0.743181889,0.019543579
17-July-2024 (Day 2)/TG10-01136-2024-07-17T103300_13,-18997.58183,0.517128567,3.40559486303918e-78,0.947888567,1057.091357,0.024262634,5.72116939832225e-33,0.700813471,7/17/2024,103300,13,10H 33M 0S,30.69,766.5,160,60.979,27.8,25-20,20,NA,NA,NA,NA,NA,NA,NA,NA,0.003619287,0.00016981,0.000130143,6.10606468263091e-06,5.93530067728234e-05,2.7847291690582e-06,0.213670824,0.010025025
17-July-2024 (Day 2)/TG10-01136-2024-07-17T103900_14,-20354.51156,0.547825193,6.36894814086808e-77,0.945260717,1342.974038,0.016515242,1.90542133521752e-31,0.682724033,7/17/2024,103900,14,10H 39M 0S,30.69,766.5,160,61.789,27.8,25-20,20,NA,NA,NA,NA,NA,NA,NA,NA,0.003834127,0.000115587,0.000137869,4.15631442909141e-06,6.20519348104032e-05,1.87067277347101e-06,0.223386965,0.006734422
17-July-2024 (Day 2)/TG10-01136-2024-07-17T104500_15,-19995.43347,0.533495949,6.11354414517614e-78,0.947373843,1244.550693,0.018937949,1.37690297508468e-37,0.749643361,7/17/2024,104500,15,10H 45M 0S,30.69,766.5,160,61.495,27.8,25-20,20,NA,NA,NA,NA,NA,NA,NA,NA,0.003733839,0.000132543,0.000134262,4.76602586742293e-06,6.07177656720059e-05,2.15534596308643e-06,0.218583956,0.007759245
17-July-2024 (Day 2)/TG10-01136-2024-07-17T104900_16,-19893.1445,0.52758299,8.34732343937499e-83,0.95640113,1366.90821,0.015927178,1.41820412143177e-34,0.718780795,7/17/2024,104900,16,10H 49M 0S,30.69,766.5,160,61.775,27.8,25-20,20,NA,NA,NA,NA,NA,NA,NA,NA,0.003692455,0.000111471,0.000132774,4.00831909869998e-06,5.97726426547956e-05,1.80446782679077e-06,0.215181514,0.006496084
17-July-2024 (Day 2)/TG10-01136-2024-07-17T105000_17,-24125.0301,0.630818974,5.73644105403932e-78,0.947430099,1098.979883,0.022412139,3.30838690916423e-35,0.725555498,7/17/2024,105000,17,10H 50M 0S,30.69,766.5,160,61.653,27.8,25-20,20,NA,NA,NA,NA,NA,NA,NA,NA,0.004414985,0.000156858,0.000158755,5.64035929842205e-06,7.16102217248147e-05,2.54420709454528e-06,0.257796798,0.009159146
17-July-2024 (Day 2)/TG10-01136-2024-07-17T110100_18,-22442.7364,0.583255345,4.04092409526533e-76,0.94353511,691.3727133,0.033143002,4.32702421358793e-35,0.724318478,7/17/2024,110100,18,11H 1M 0S,30.69,766.5,160,61.837,27.8,25-20,20,NA,NA,NA,NA,NA,NA,NA,NA,0.004082096,0.000231962,0.000146785,8.34094590043806e-06,6.60138105018031e-05,3.7511845658748e-06,0.237649718,0.013504264
17-July-2024 (Day 2)/TG10-01136-2024-07-17T110600_19,-24141.82863,0.619101077,9.32658779294809e-148,0.996468208,1292.196927,0.017082509,1.48648960869047e-75,0.942286025,7/17/2024,110600,19,11H 6M 0S,30.69,766.5,160,62.472,27.8,25-90,90,NA,NA,NA,NA,NA,NA,NA,NA,0.004332973,0.000119557,0.000155806,4.2990759654037e-06,6.93586406710206e-05,1.91376936867717e-06,0.249691106,0.00688957
17-July-2024 (Day 2)/TG10-01136-2024-07-17T111100_20,-15325.1656,0.395382507,1.69516529817236e-263,0.996855982,1930.967503,0.001959262,1.58430999485823e-06,0.104626639,7/17/2024,111100,20,11H 11M 0S,30.69,766.5,160,62.457,27.8,25-90,90,NA,NA,NA,NA,NA,NA,NA,NA,0.002767209,1.37125111533685e-05,9.95040843750283e-05,4.93078430541838e-07,4.43058264085691e-05,2.1955122969993e-07,0.159500975,0.000790384
