indicator,País__ESTANDAR,Años__ESTANDAR,value,unit,notes_ids,source_id
Tasa de migración,Bolivia (Estado Plurinacional de),2058,-0.18,Tasa por 1.000 habitantes,,6547
Tasa de migración,Bolivia (Estado Plurinacional de),2059,-0.19,Tasa por 1.000 habitantes,,6547
Tasa de migración,Bolivia (Estado Plurinacional de),2060,-0.20,Tasa por 1.000 habitantes,,6547
Tasa de migración,Bolivia (Estado Plurinacional de),2061,-0.19,Tasa por 1.000 habitantes,,6547
Tasa de migración,Bolivia (Estado Plurinacional de),2062,-0.19,Tasa por 1.000 habitantes,,6547
Tasa de migración,Bolivia (Estado Plurinacional de),2063,-0.18,Tasa por 1.000 habitantes,,6547
Tasa de migración,Bolivia (Estado Plurinacional de),2064,-0.17,Tasa por 1.000 habitantes,,6547
Tasa de migración,Bolivia (Estado Plurinacional de),2065,-0.19,Tasa por 1.000 habitantes,,6547
Tasa de migración,Bolivia (Estado Plurinacional de),2066,-0.16,Tasa por 1.000 habitantes,,6547
Tasa de migración,Bolivia (Estado Plurinacional de),2067,-0.16,Tasa por 1.000 habitantes,,6547
Tasa de migración,Bolivia (Estado Plurinacional de),2068,-0.19,Tasa por 1.000 habitantes,,6547
Tasa de migración,Bolivia (Estado Plurinacional de),2069,-0.18,Tasa por 1.000 habitantes,,6547
Tasa de migración,Bolivia (Estado Plurinacional de),2070,-0.19,Tasa por 1.000 habitantes,,6547
Tasa de migración,Bolivia (Estado Plurinacional de),2071,-0.17,Tasa por 1.000 habitantes,,6547
Tasa de migración,Bolivia (Estado Plurinacional de),2072,-0.17,Tasa por 1.000 habitantes,,6547
Tasa de migración,Bolivia (Estado Plurinacional de),2073,-0.19,Tasa por 1.000 habitantes,,6547
Tasa de migración,Bolivia (Estado Plurinacional de),2074,-0.16,Tasa por 1.000 habitantes,,6547
Tasa de migración,Bolivia (Estado Plurinacional de),2075,-0.15,Tasa por 1.000 habitantes,,6547
Tasa de migración,Bolivia (Estado Plurinacional de),2076,-0.15,Tasa por 1.000 habitantes,,6547
Tasa de migración,Bolivia (Estado Plurinacional de),2077,-0.17,Tasa por 1.000 habitantes,,6547
Tasa de migración,Bolivia (Estado Plurinacional de),2078,-0.16,Tasa por 1.000 habitantes,,6547
Tasa de migración,Bolivia (Estado Plurinacional de),2079,-0.18,Tasa por 1.000 habitantes,,6547
Tasa de migración,Bolivia (Estado Plurinacional de),2080,-0.18,Tasa por 1.000 habitantes,,6547
Tasa de migración,Bolivia (Estado Plurinacional de),2081,-0.18,Tasa por 1.000 habitantes,,6547
Tasa de migración,Bolivia (Estado Plurinacional de),2082,-0.18,Tasa por 1.000 habitantes,,6547
Tasa de migración,Bolivia (Estado Plurinacional de),2083,-0.17,Tasa por 1.000 habitantes,,6547
Tasa de migración,Bolivia (Estado Plurinacional de),2084,-0.17,Tasa por 1.000 habitantes,,6547
Tasa de migración,Bolivia (Estado Plurinacional de),2085,-0.19,Tasa por 1.000 habitantes,,6547
Tasa de migración,Bolivia (Estado Plurinacional de),2086,-0.18,Tasa por 1.000 habitantes,,6547
Tasa de migración,Bolivia (Estado Plurinacional de),2087,-0.18,Tasa por 1.000 habitantes,,6547
Tasa de migración,Bolivia (Estado Plurinacional de),2088,-0.15,Tasa por 1.000 habitantes,,6547
Tasa de migración,Bolivia (Estado Plurinacional de),2089,-0.15,Tasa por 1.000 habitantes,,6547
Tasa de migración,Bolivia (Estado Plurinacional de),2090,-0.16,Tasa por 1.000 habitantes,,6547
Tasa de migración,Bolivia (Estado Plurinacional de),2091,-0.16,Tasa por 1.000 habitantes,,6547
Tasa de migración,Bolivia (Estado Plurinacional de),2092,-0.16,Tasa por 1.000 habitantes,,6547
Tasa de migración,Bolivia (Estado Plurinacional de),2093,-0.15,Tasa por 1.000 habitantes,,6547
Tasa de migración,Bolivia (Estado Plurinacional de),2094,-0.13,Tasa por 1.000 habitantes,,6547
Tasa de migración,Bolivia (Estado Plurinacional de),2095,-0.14,Tasa por 1.000 habitantes,,6547
Tasa de migración,Bolivia (Estado Plurinacional de),2096,-0.13,Tasa por 1.000 habitantes,,6547
Tasa de migración,Bolivia (Estado Plurinacional de),2097,-0.14,Tasa por 1.000 habitantes,,6547
Tasa de migración,Bolivia (Estado Plurinacional de),2098,-0.16,Tasa por 1.000 habitantes,,6547
Tasa de migración,Bolivia (Estado Plurinacional de),2099,-0.16,Tasa por 1.000 habitantes,,6547
Tasa de migración,Bolivia (Estado Plurinacional de),2100,-0.16,Tasa por 1.000 habitantes,,6547
Tasa de migración,Brasil,1950,0.18,Tasa por 1.000 habitantes,,6547
Tasa de migración,Brasil,1951,0.18,Tasa por 1.000 habitantes,,6547
Tasa de migración,Brasil,1952,0.16,Tasa por 1.000 habitantes,,6547
Tasa de migración,Brasil,1953,0.16,Tasa por 1.000 habitantes,,6547
Tasa de migración,Brasil,1954,0.15,Tasa por 1.000 habitantes,,6547
Tasa de migración,Brasil,1955,0.20,Tasa por 1.000 habitantes,,6547
Tasa de migración,Brasil,1956,0.22,Tasa por 1.000 habitantes,,6547
Tasa de migración,Brasil,1957,0.22,Tasa por 1.000 habitantes,,6547
Tasa de migración,Brasil,1958,0.21,Tasa por 1.000 habitantes,,6547
Tasa de migración,Brasil,1959,0.21,Tasa por 1.000 habitantes,,6547
Tasa de migración,Brasil,1960,0.06,Tasa por 1.000 habitantes,,6547
Tasa de migración,Brasil,1961,0.00,Tasa por 1.000 habitantes,,6547
Tasa de migración,Brasil,1962,-0.09,Tasa por 1.000 habitantes,,6547
Tasa de migración,Brasil,1963,-0.10,Tasa por 1.000 habitantes,,6547
Tasa de migración,Brasil,1964,-0.10,Tasa por 1.000 habitantes,,6547
Tasa de migración,Brasil,1965,-0.10,Tasa por 1.000 habitantes,,6547
Tasa de migración,Brasil,1966,-0.11,Tasa por 1.000 habitantes,,6547
Tasa de migración,Brasil,1967,-0.11,Tasa por 1.000 habitantes,,6547
Tasa de migración,Brasil,1968,-0.10,Tasa por 1.000 habitantes,,6547
Tasa de migración,Brasil,1969,-0.08,Tasa por 1.000 habitantes,,6547
Tasa de migración,Brasil,1970,-0.20,Tasa por 1.000 habitantes,,6547
Tasa de migración,Brasil,1971,-0.24,Tasa por 1.000 habitantes,,6547
Tasa de migración,Brasil,1972,-0.23,Tasa por 1.000 habitantes,,6547
Tasa de migración,Brasil,1973,-0.23,Tasa por 1.000 habitantes,,6547
Tasa de migración,Brasil,1974,-0.23,Tasa por 1.000 habitantes,,6547
Tasa de migración,Brasil,1975,-0.24,Tasa por 1.000 habitantes,,6547
Tasa de migración,Brasil,1976,-0.19,Tasa por 1.000 habitantes,,6547
Tasa de migración,Brasil,1977,-0.17,Tasa por 1.000 habitantes,,6547
Tasa de migración,Brasil,1978,-0.20,Tasa por 1.000 habitantes,,6547
Tasa de migración,Brasil,1979,-0.28,Tasa por 1.000 habitantes,,6547
Tasa de migración,Brasil,1980,-0.32,Tasa por 1.000 habitantes,,6547
Tasa de migración,Brasil,1981,-0.53,Tasa por 1.000 habitantes,,6547
Tasa de migración,Brasil,1982,-0.72,Tasa por 1.000 habitantes,,6547
Tasa de migración,Brasil,1983,-0.59,Tasa por 1.000 habitantes,,6547
Tasa de migración,Brasil,1984,-0.53,Tasa por 1.000 habitantes,,6547
Tasa de migración,Brasil,1985,-0.45,Tasa por 1.000 habitantes,,6547
Tasa de migración,Brasil,1986,-0.66,Tasa por 1.000 habitantes,,6547
Tasa de migración,Brasil,1987,-0.55,Tasa por 1.000 habitantes,,6547
Tasa de migración,Brasil,1988,-0.51,Tasa por 1.000 habitantes,,6547
Tasa de migración,Brasil,1989,-0.41,Tasa por 1.000 habitantes,,6547
Tasa de migración,Brasil,1990,-0.20,Tasa por 1.000 habitantes,,6547
Tasa de migración,Brasil,1991,-0.44,Tasa por 1.000 habitantes,,6547
Tasa de migración,Brasil,1992,0.09,Tasa por 1.000 habitantes,,6547
Tasa de migración,Brasil,1993,-0.44,Tasa por 1.000 habitantes,,6547
Tasa de migración,Brasil,1994,-0.43,Tasa por 1.000 habitantes,,6547
Tasa de migración,Brasil,1995,-0.43,Tasa por 1.000 habitantes,,6547
Tasa de migración,Brasil,1996,-0.44,Tasa por 1.000 habitantes,,6547
Tasa de migración,Brasil,1997,-0.43,Tasa por 1.000 habitantes,,6547
Tasa de migración,Brasil,1998,0.13,Tasa por 1.000 habitantes,,6547
Tasa de migración,Brasil,1999,-0.14,Tasa por 1.000 habitantes,,6547
Tasa de migración,Brasil,2000,-0.26,Tasa por 1.000 habitantes,,6547
Tasa de migración,Brasil,2001,-0.29,Tasa por 1.000 habitantes,,6547
Tasa de migración,Brasil,2002,-0.23,Tasa por 1.000 habitantes,,6547
Tasa de migración,Brasil,2003,-0.31,Tasa por 1.000 habitantes,,6547
Tasa de migración,Brasil,2004,-0.42,Tasa por 1.000 habitantes,,6547
Tasa de migración,Brasil,2005,-0.48,Tasa por 1.000 habitantes,,6547
Tasa de migración,Brasil,2006,-0.49,Tasa por 1.000 habitantes,,6547
Tasa de migración,Brasil,2007,-0.57,Tasa por 1.000 habitantes,,6547
Tasa de migración,Brasil,2008,-0.74,Tasa por 1.000 habitantes,,6547
Tasa de migración,Brasil,2009,-1.15,Tasa por 1.000 habitantes,,6547
Tasa de migración,Brasil,2010,-1.35,Tasa por 1.000 habitantes,,6547
Tasa de migración,Brasil,2011,-1.21,Tasa por 1.000 habitantes,,6547
Tasa de migración,Brasil,2012,-0.91,Tasa por 1.000 habitantes,,6547
Tasa de migración,Brasil,2013,-0.79,Tasa por 1.000 habitantes,,6547
Tasa de migración,Brasil,2014,-0.73,Tasa por 1.000 habitantes,,6547
Tasa de migración,Brasil,2015,-0.86,Tasa por 1.000 habitantes,,6547
Tasa de migración,Brasil,2016,-0.46,Tasa por 1.000 habitantes,,6547
Tasa de migración,Brasil,2017,-0.76,Tasa por 1.000 habitantes,,6547
Tasa de migración,Brasil,2018,-1.12,Tasa por 1.000 habitantes,,6547
Tasa de migración,Brasil,2019,-0.62,Tasa por 1.000 habitantes,,6547
Tasa de migración,Brasil,2020,-0.38,Tasa por 1.000 habitantes,,6547
Tasa de migración,Brasil,2021,-1.00,Tasa por 1.000 habitantes,,6547
Tasa de migración,Brasil,2022,-1.21,Tasa por 1.000 habitantes,,6547
Tasa de migración,Brasil,2023,-1.14,Tasa por 1.000 habitantes,,6547
Tasa de migración,Brasil,2024,-1.06,Tasa por 1.000 habitantes,,6547
Tasa de migración,Brasil,2025,-1.02,Tasa por 1.000 habitantes,,6547
Tasa de migración,Brasil,2026,-0.96,Tasa por 1.000 habitantes,,6547
Tasa de migración,Brasil,2027,-0.86,Tasa por 1.000 habitantes,,6547
Tasa de migración,Brasil,2028,-0.80,Tasa por 1.000 habitantes,,6547
Tasa de migración,Brasil,2029,-0.73,Tasa por 1.000 habitantes,,6547
Tasa de migración,Brasil,2030,-0.68,Tasa por 1.000 habitantes,,6547
Tasa de migración,Brasil,2031,-0.63,Tasa por 1.000 habitantes,,6547
Tasa de migración,Brasil,2032,-0.55,Tasa por 1.000 habitantes,,6547
Tasa de migración,Brasil,2033,-0.50,Tasa por 1.000 habitantes,,6547
Tasa de migración,Brasil,2034,-0.44,Tasa por 1.000 habitantes,,6547
Tasa de migración,Brasil,2035,-0.39,Tasa por 1.000 habitantes,,6547
Tasa de migración,Brasil,2036,-0.33,Tasa por 1.000 habitantes,,6547
Tasa de migración,Brasil,2037,-0.28,Tasa por 1.000 habitantes,,6547
Tasa de migración,Brasil,2038,-0.23,Tasa por 1.000 habitantes,,6547
Tasa de migración,Brasil,2039,-0.20,Tasa por 1.000 habitantes,,6547
Tasa de migración,Brasil,2040,-0.14,Tasa por 1.000 habitantes,,6547
Tasa de migración,Brasil,2041,-0.15,Tasa por 1.000 habitantes,,6547
Tasa de migración,Brasil,2042,-0.15,Tasa por 1.000 habitantes,,6547
Tasa de migración,Brasil,2043,-0.15,Tasa por 1.000 habitantes,,6547
Tasa de migración,Brasil,2044,-0.14,Tasa por 1.000 habitantes,,6547
Tasa de migración,Brasil,2045,-0.15,Tasa por 1.000 habitantes,,6547
Tasa de migración,Brasil,2046,-0.14,Tasa por 1.000 habitantes,,6547
Tasa de migración,Brasil,2047,-0.15,Tasa por 1.000 habitantes,,6547
Tasa de migración,Brasil,2048,-0.15,Tasa por 1.000 habitantes,,6547
Tasa de migración,Brasil,2049,-0.17,Tasa por 1.000 habitantes,,6547
Tasa de migración,Brasil,2050,-0.14,Tasa por 1.000 habitantes,,6547
Tasa de migración,Brasil,2051,-0.12,Tasa por 1.000 habitantes,,6547
Tasa de migración,Brasil,2052,-0.14,Tasa por 1.000 habitantes,,6547
Tasa de migración,Brasil,2053,-0.14,Tasa por 1.000 habitantes,,6547
Tasa de migración,Brasil,2054,-0.13,Tasa por 1.000 habitantes,,6547
Tasa de migración,Brasil,2055,-0.14,Tasa por 1.000 habitantes,,6547
Tasa de migración,Brasil,2056,-0.13,Tasa por 1.000 habitantes,,6547
Tasa de migración,Brasil,2057,-0.14,Tasa por 1.000 habitantes,,6547
Tasa de migración,Brasil,2058,-0.14,Tasa por 1.000 habitantes,,6547
Tasa de migración,Brasil,2059,-0.15,Tasa por 1.000 habitantes,,6547
Tasa de migración,Brasil,2060,-0.15,Tasa por 1.000 habitantes,,6547
Tasa de migración,Brasil,2061,-0.14,Tasa por 1.000 habitantes,,6547
Tasa de migración,Brasil,2062,-0.16,Tasa por 1.000 habitantes,,6547
Tasa de migración,Brasil,2063,-0.17,Tasa por 1.000 habitantes,,6547
Tasa de migración,Brasil,2064,-0.15,Tasa por 1.000 habitantes,,6547
Tasa de migración,Brasil,2065,-0.16,Tasa por 1.000 habitantes,,6547
Tasa de migración,Brasil,2066,-0.15,Tasa por 1.000 habitantes,,6547
Tasa de migración,Brasil,2067,-0.15,Tasa por 1.000 habitantes,,6547
Tasa de migración,Brasil,2068,-0.15,Tasa por 1.000 habitantes,,6547
Tasa de migración,Brasil,2069,-0.14,Tasa por 1.000 habitantes,,6547
Tasa de migración,Brasil,2070,-0.14,Tasa por 1.000 habitantes,,6547
Tasa de migración,Brasil,2071,-0.14,Tasa por 1.000 habitantes,,6547
Tasa de migración,Brasil,2072,-0.14,Tasa por 1.000 habitantes,,6547
Tasa de migración,Brasil,2073,-0.16,Tasa por 1.000 habitantes,,6547
Tasa de migración,Brasil,2074,-0.15,Tasa por 1.000 habitantes,,6547
Tasa de migración,Brasil,2075,-0.15,Tasa por 1.000 habitantes,,6547
Tasa de migración,Brasil,2076,-0.15,Tasa por 1.000 habitantes,,6547
Tasa de migración,Brasil,2077,-0.15,Tasa por 1.000 habitantes,,6547
Tasa de migración,Brasil,2078,-0.16,Tasa por 1.000 habitantes,,6547
Tasa de migración,Brasil,2079,-0.15,Tasa por 1.000 habitantes,,6547
Tasa de migración,Brasil,2080,-0.15,Tasa por 1.000 habitantes,,6547
Tasa de migración,Brasil,2081,-0.15,Tasa por 1.000 habitantes,,6547
Tasa de migración,Brasil,2082,-0.15,Tasa por 1.000 habitantes,,6547
Tasa de migración,Brasil,2083,-0.14,Tasa por 1.000 habitantes,,6547
Tasa de migración,Brasil,2084,-0.14,Tasa por 1.000 habitantes,,6547
Tasa de migración,Brasil,2085,-0.13,Tasa por 1.000 habitantes,,6547
Tasa de migración,Brasil,2086,-0.13,Tasa por 1.000 habitantes,,6547
Tasa de migración,Brasil,2087,-0.12,Tasa por 1.000 habitantes,,6547
Tasa de migración,Brasil,2088,-0.14,Tasa por 1.000 habitantes,,6547
Tasa de migración,Brasil,2089,-0.13,Tasa por 1.000 habitantes,,6547
Tasa de migración,Brasil,2090,-0.15,Tasa por 1.000 habitantes,,6547
Tasa de migración,Brasil,2091,-0.14,Tasa por 1.000 habitantes,,6547
Tasa de migración,Brasil,2092,-0.15,Tasa por 1.000 habitantes,,6547
Tasa de migración,Brasil,2093,-0.13,Tasa por 1.000 habitantes,,6547
Tasa de migración,Brasil,2094,-0.15,Tasa por 1.000 habitantes,,6547
Tasa de migración,Brasil,2095,-0.14,Tasa por 1.000 habitantes,,6547
Tasa de migración,Brasil,2096,-0.15,Tasa por 1.000 habitantes,,6547
Tasa de migración,Brasil,2097,-0.14,Tasa por 1.000 habitantes,,6547
Tasa de migración,Brasil,2098,-0.12,Tasa por 1.000 habitantes,,6547
Tasa de migración,Brasil,2099,-0.12,Tasa por 1.000 habitantes,,6547
Tasa de migración,Brasil,2100,-0.14,Tasa por 1.000 habitantes,,6547
Tasa de migración,Chile,1950,-3.83,Tasa por 1.000 habitantes,,6547
